21:00 - 22:00,351,,n/e,n/e,n/e,n/e,7395,,2,,218,,n/e,n/e,n/e,n/e,n/e,n/e,452,,4568,,1524,,n/e,n/e,55980,,n/e,n/e,n/e,n/e,0,,257,,n/e,n/e,3198,
22:00 - 23:00,351,,n/e,n/e,n/e,n/e,7071,,2,,218,,n/e,n/e,n/e,n/e,n/e,n/e,1059,,4281,,1112,,n/e,n/e,55787,,n/e,n/e,n/e,n/e,0,,257,,n/e,n/e,3073,
23:00 - 00:00,351,,n/e,n/e,n/e,n/e,7236,,2,,217,,n/e,n/e,n/e,n/e,n/e,n/e,622,,3994,,1096,,n/e,n/e,55826,,n/e,n/e,n/e,n/e,0,,260,,n/e,n/e,3077,
00:00 - 01:00,351,,n/e,n/e,n/e,n/e,6673,,46,,218,,n/e,n/e,n/e,n/e,n/e,n/e,,575,3483,,1022,,n/e,n/e,55663,,n/e,n/e,n/e,n/e,0,,260,,n/e,n/e,3043,
01:00 - 02:00,351,,n/e,n/e,n/e,n/e,6016,,46,,217,,n/e,n/e,n/e,n/e,n/e,n/e,,1765,3100,,841,,n/e,n/e,55467,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2952,
02:00 - 03:00,351,,n/e,n/e,n/e,n/e,5986,,46,,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2249,2939,,449,,n/e,n/e,55489,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2875,
03:00 - 04:00,351,,n/e,n/e,n/e,n/e,5672,,46,,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2722,2774,,386,,n/e,n/e,55561,,n/e,n/e,n/e,n/e,0,,260,,n/e,n/e,2803,
04:00 - 05:00,351,,n/e,n/e,n/e,n/e,5584,,46,,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2755,2735,,342,,n/e,n/e,55473,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,2763,
05:00 - 06:00,351,,n/e,n/e,n/e,n/e,5815,,46,,217,,n/e,n/e,n/e,n/e,n/e,n/e,,1907,2749,,530,,n/e,n/e,55755,,n/e,n/e,n/e,n/e,0,,255,,n/e,n/e,2650,
06:00 - 07:00,351,,n/e,n/e,n/e,n/e,7172,,46,,217,,n/e,n/e,n/e,n/e,n/e,n/e,89,,3059,,1077,,n/e,n/e,55737,,n/e,n/e,n/e,n/e,0,,253,,n/e,n/e,2541,
07:00 - 08:00,351,,n/e,n/e,n/e,n/e,7242,,46,,217,,n/e,n/e,n/e,n/e,n/e,n/e,361,,3601,,1819,,n/e,n/e,55863,,n/e,n/e,n/e,n/e,0,,255,,n/e,n/e,2513,
08:00 - 09:00,353,,n/e,n/e,n/e,n/e,7307,,46,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1001,,4174,,1923,,n/e,n/e,56015,,n/e,n/e,n/e,n/e,146,,256,,n/e,n/e,2511,
09:00 - 10:00,353,,n/e,n/e,n/e,n/e,7293,,44,,217,,n/e,n/e,n/e,n/e,n/e,n/e,652,,4481,,2239,,n/e,n/e,56174,,n/e,n/e,n/e,n/e,796,,259,,n/e,n/e,2381,
10:00 - 11:00,352,,n/e,n/e,n/e,n/e,7262,,44,,217,,n/e,n/e,n/e,n/e,n/e,n/e,593,,4648,,2201,,n/e,n/e,56186,,n/e,n/e,n/e,n/e,2087,,255,,n/e,n/e,2043,
11:00 - 12:00,351,,n/e,n/e,n/e,n/e,7268,,44,,217,,n/e,n/e,n/e,n/e,n/e,n/e,799,,4493,,1877,,n/e,n/e,56172,,n/e,n/e,n/e,n/e,3141,,254,,n/e,n/e,1739,
12:00 - 13:00,349,,n/e,n/e,n/e,n/e,7228,,45,,217,,n/e,n/e,n/e,n/e,n/e,n/e,805,,4432,,1616,,n/e,n/e,56135,,n/e,n/e,n/e,n/e,3655,,257,,n/e,n/e,1756,
13:00 - 14:00,350,,n/e,n/e,n/e,n/e,7164,,44,,218,,n/e,n/e,n/e,n/e,n/e,n/e,569,,4279,,1379,,n/e,n/e,56120,,n/e,n/e,n/e,n/e,3641,,258,,n/e,n/e,2077,
14:00 - 15:00,351,,n/e,n/e,n/e,n/e,7147,,44,,218,,n/e,n/e,n/e,n/e,n/e,n/e,383,,4224,,1440,,n/e,n/e,56087,,n/e,n/e,n/e,n/e,3088,,258,,n/e,n/e,2444,
15:00 - 16:00,350,,n/e,n/e,n/e,n/e,7324,,43,,218,,n/e,n/e,n/e,n/e,n/e,n/e,438,,4160,,1537,,n/e,n/e,56066,,n/e,n/e,n/e,n/e,1959,,257,,n/e,n/e,2536,
16:00 - 17:00,351,,n/e,n/e,n/e,n/e,7293,,43,,217,,n/e,n/e,n/e,n/e,n/e,n/e,625,,4167,,1897,,n/e,n/e,56040,,n/e,n/e,n/e,n/e,674,,258,,n/e,n/e,2554,
17:00 - 18:00,351,,n/e,n/e,n/e,n/e,7245,,40,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1861,,4784,,2330,,n/e,n/e,55882,,n/e,n/e,n/e,n/e,120,,258,,n/e,n/e,2661,
