Country_From,Country_Folder,Neighbor_1,Neighbor_2,Neighbor_3,Neighbor_4,Neighbor_5,Neighbor_6,Neighbor_7,Neighbor_8,Neighbor_9,Neighbor_10,Neighbor_11,Country_File_Path
LU,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/LU,BE,DE,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/LU/LU.csv
LV,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/LV,EE,LT,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/LV/LV.csv
MT,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/MT,IT,,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/MT/MT.csv
NL,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/NL,BE,DE,DK,NO,UK,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/NL/NL.csv
NO,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/NO,DE,DK,FI,NL,SE,UK,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/NO/NO.csv
PL,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/PL,CZ,DE,LT,SE,SK,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/PL/PL.csv
PT,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/PT,ES,,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/PT/PT.csv
RO,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/RO,BG,HU,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/RO/RO.csv
SE,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/SE,DE,DK,FI,LT,NO,PL,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/SE/SE.csv
SI,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/SI,AT,HR,HU,IT,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/SI/SI.csv
SK,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/SK,CZ,HU,PL,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/SK/SK.csv
UK,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/UK,BE,DK,FR,IE,NL,NO,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/UK/UK.csv
