00:00 - 01:00,0,,n/e,n/e,n/e,n/e,202,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,64,,2091,,9920,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,37,,n/e,n/e,1098,
01:00 - 02:00,0,,n/e,n/e,n/e,n/e,202,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,59,,2098,,9798,,n/e,n/e,n/e,n/e,0,,72,,n/e,n/e,36,,n/e,n/e,854,
02:00 - 03:00,0,,n/e,n/e,n/e,n/e,202,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,58,,2060,,9462,,n/e,n/e,n/e,n/e,0,,73,,n/e,n/e,36,,n/e,n/e,816,
03:00 - 04:00,0,,n/e,n/e,n/e,n/e,199,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,60,,2073,,9548,,n/e,n/e,n/e,n/e,0,,73,,n/e,n/e,36,,n/e,n/e,707,
04:00 - 05:00,0,,n/e,n/e,n/e,n/e,202,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,59,,2068,,9880,,n/e,n/e,n/e,n/e,0,,71,,n/e,n/e,36,,n/e,n/e,689,
05:00 - 06:00,0,,n/e,n/e,n/e,n/e,204,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,59,,2075,,10041,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,31,,n/e,n/e,665,
06:00 - 07:00,0,,n/e,n/e,n/e,n/e,205,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,63,,2114,,11407,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,31,,n/e,n/e,643,
07:00 - 08:00,0,,n/e,n/e,n/e,n/e,202,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,122,,2184,,14429,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,30,,n/e,n/e,649,
08:00 - 09:00,0,,n/e,n/e,n/e,n/e,204,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,127,,2248,,15465,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,29,,n/e,n/e,699,
09:00 - 10:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,130,,2278,,15505,,n/e,n/e,n/e,n/e,0,,66,,n/e,n/e,27,,n/e,n/e,783,
10:00 - 11:00,0,,n/e,n/e,n/e,n/e,210,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,131,,2341,,15140,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,24,,n/e,n/e,781,
11:00 - 12:00,0,,n/e,n/e,n/e,n/e,211,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,134,,2385,,16223,,n/e,n/e,n/e,n/e,0,,68,,n/e,n/e,21,,n/e,n/e,765,
12:00 - 13:00,0,,n/e,n/e,n/e,n/e,202,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,153,,2382,,16733,,n/e,n/e,n/e,n/e,0,,69,,n/e,n/e,26,,n/e,n/e,797,
13:00 - 14:00,0,,n/e,n/e,n/e,n/e,209,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,162,,2415,,16037,,n/e,n/e,n/e,n/e,0,,69,,n/e,n/e,27,,n/e,n/e,745,
14:00 - 15:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,221,,2421,,16193,,n/e,n/e,n/e,n/e,0,,68,,n/e,n/e,27,,n/e,n/e,732,
15:00 - 16:00,0,,n/e,n/e,n/e,n/e,204,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,234,,2421,,16926,,n/e,n/e,n/e,n/e,0,,69,,n/e,n/e,26,,n/e,n/e,819,
16:00 - 17:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,236,,2406,,17477,,n/e,n/e,n/e,n/e,0,,71,,n/e,n/e,26,,n/e,n/e,954,
17:00 - 18:00,0,,n/e,n/e,n/e,n/e,212,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,285,,2428,,17835,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,26,,n/e,n/e,840,
18:00 - 19:00,0,,n/e,n/e,n/e,n/e,215,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,330,,2440,,18124,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,26,,n/e,n/e,884,
19:00 - 20:00,0,,n/e,n/e,n/e,n/e,216,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,270,,2425,,17537,,n/e,n/e,n/e,n/e,0,,68,,n/e,n/e,24,,n/e,n/e,857,
20:00 - 21:00,0,,n/e,n/e,n/e,n/e,215,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,208,,2417,,16545,,n/e,n/e,n/e,n/e,0,,66,,n/e,n/e,23,,n/e,n/e,807,
21:00 - 22:00,0,,n/e,n/e,n/e,n/e,205,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,207,,2393,,15186,,n/e,n/e,n/e,n/e,0,,66,,n/e,n/e,22,,n/e,n/e,694,
22:00 - 23:00,0,,n/e,n/e,n/e,n/e,209,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,201,,2370,,14196,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,22,,n/e,n/e,523,
23:00 - 00:00,0,,n/e,n/e,n/e,n/e,208,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,200,,2337,,13191,,n/e,n/e,n/e,n/e,0,,70,,n/e,n/e,24,,n/e,n/e,530,
00:00 - 01:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,210,,2301,,12751,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,26,,n/e,n/e,384,
