snapshot,DC_DE1 0-BE1 0,DC_GB0 0-NL1 0,DC_GB0 0-FR1 0,DC_GB0 0-GB2 0,DC_GB0 0-GB2 0,DC_GB0 0-FR1 0,DC_GB0 0-FR1 0,DC_FR1 0-GB0 0,DC_GB0 0-FR1 0,DC_GB0 0-DE1 0,DC_GB0 0-NL1 0,DC_GB0 0-BE1 0
2013-07-11 13:00:00,0.0027330034798977,0.008144555412858,0.000994867241993913,0.0230934771675777,0.0175140283387638,0.000944620299382461,0.000952127982229385,1822.5104680933,0.000944653115634063,0.0101440832530533,0.0081523309312713,0.00239230185341515
2013-07-11 14:00:00,0.00268945883788411,0.00809807711120519,0.000988853839281374,0.0230518203939633,0.0177070902098929,0.000939015109148001,0.000946439175275235,1822.51047333123,0.000939047599480815,0.0101346051520093,0.00810325884539708,0.00235742060111096
2013-07-11 15:00:00,0.00904246491854977,0.0121472562488953,0.000980442885953426,0.0226756276293898,0.0179113220850125,0.000931281949786264,0.000938581722341312,1822.51047798958,0.000931313996787542,0.0101282761241816,0.0121165737936515,0.00595498115194459
2013-07-11 16:00:00,0.00586900102404227,0.0215013876244893,0.000960046380589913,0.0208404836992717,0.0155482466802177,0.000913853632616251,0.000920762555687013,1822.51049876837,0.000913884097677833,0.0211207274800541,0.0214562094246024,0.00589587693815428
2013-07-11 17:00:00,0.00524804576202571,0.028369375861552,0.0115911987732273,0.019353033354883,0.0139137669007927,0.0110743637267172,0.0111456877746764,1775.95236087834,0.0110782884597349,3444.44667712365,0.0287948527785814,0.00883506266262942
2013-07-11 18:00:00,0.0138123993248595,0.0128761068087463,0.00581921328342969,89.9086167952429,572.151817592989,0.00554296609016448,0.00558442313576409,1822.49999533861,0.00554395014348507,0.0141183622132194,0.0131841332082514,0.0102406901415735
2013-07-11 19:00:00,0.0135715078348823,0.0131042348878634,0.00593102156203596,87.0938433376465,450.357237082997,0.00564840214918389,0.00569121222985495,1822.49966029599,0.00564941305124077,0.0145599784228829,0.0134163619566072,0.0103361340982096
2013-07-11 20:00:00,0.0135809449619816,0.0131254055020661,0.00594161770381806,80.9924092172365,308.785465766372,0.00565761384028569,0.0057005309019392,1822.49980407906,0.00565862331231461,0.0145554737039601,0.0134412707976432,0.0103399708708982
2013-07-11 21:00:00,0.0135795279115233,0.0130961018399972,0.00593457201092566,88.6976718268251,482.836575937373,0.00565093770590709,0.00569380143882534,1822.49985614074,0.00565194432481849,0.0145369158069496,0.0134131975878609,0.0103292674161497
2013-07-11 22:00:00,0.0135959580498229,0.0130660903318828,0.00593177117398612,90.7826565057254,590.701579099704,0.00564840906861691,0.0056912076769193,1822.49988281584,0.00564941467471838,0.0145276580955059,0.0133822116255817,0.0103364202350828
2013-07-11 23:00:00,0.0135816455512187,0.0130538025881891,0.00591786300101004,89.7145996114712,543.924383625807,0.00563555186198124,0.00567808791213605,1822.49993552957,0.00563655382156271,0.0145051547973418,0.0133699316224358,0.0103159634196453
2013-07-12 00:00:00,0.0135382509391387,0.0130398073166224,0.00588657366977109,92.6893388111556,675.525427508974,0.00560752102504344,0.00564916591050404,1822.49992628758,0.0056085184007501,0.0145504688276007,0.0133553085399063,0.0103172137092261
2013-07-12 01:00:00,0.0134930838338039,0.0130370949708909,0.00588045929738031,88.6472897583206,501.262659404371,0.00560313783975123,0.00564448602337894,1822.49992492755,0.0056041347155192,0.0145885680312214,0.0133526022855186,0.0103139044677544
2013-07-12 02:00:00,0.0134762900957455,0.0130345115566869,0.00587700154342865,81.064946498003,309.373060753102,0.00560074296062753,0.00564193463815572,1822.4999208411,0.0056017397009401,0.0146013208731417,0.0133490923698646,0.0103143850009186
2013-07-12 03:00:00,0.0134630237199982,0.0130229574415271,0.00587066645976929,81.4045443374352,314.44129613939,0.00559522012634522,0.00563629718991848,1822.49992019255,0.00559621598153287,0.0146028632893867,0.0133367533694031,0.0103115798843647
2013-07-12 04:00:00,0.0134086208522997,0.0130302503797511,0.00586318733420492,87.0317390787553,437.766257104666,0.00559037218842859,0.00563105951590884,1822.4998939223,0.00559136910791366,0.0145987696130009,0.0133468373553013,0.0102781171277622
2013-07-12 05:00:00,0.0134676999304028,0.0131292999922611,0.00579338297603835,83.2323917523087,357.735455562133,0.00552434650566201,0.00556450734461936,1822.50013195997,0.00552532293605485,0.0147125346134451,0.013452163471431,0.0103909296719534
2013-07-12 06:00:00,0.01281754821034,0.0133496818927544,0.00585893825545314,93.0458275557759,834.617386955053,0.00558751529225795,0.00562817740699358,1822.49979799675,0.00558851343300455,0.0153328483139164,0.0136828357881554,0.0105162496541424
2013-07-12 07:00:00,0.0232586631238905,0.0134742219672806,0.00308827863749597,69.5380942180796,184.601698679706,0.00294537653736183,0.00296700571707342,1822.50759918263,0.00294566927613833,0.0131066618169041,0.0137958594407484,0.0128663029025042
2013-07-12 08:00:00,0.0128420209091846,0.0288239192238425,0.00104272529706237,0.0201950542824154,0.0138471204163243,0.00098957110406834,0.000997729866473321,1822.51043471657,0.000989606383050284,0.0249207013766763,0.0289044731211713,0.0135825617456235
2013-07-12 09:00:00,1718.75842952088,0.0254226208751032,0.00100121839922581,0.0216524700653596,0.0176071432415364,0.000948445471154949,0.000956306900756181,1822.51047535653,0.000948478277174574,0.00805832120828528,0.0252727931336373,0.0111156925379977
2013-07-12 10:00:00,2460.36678210352,0.0219658775880019,0.00101422592913318,0.0231747784098102,0.0191448571044469,0.000960957629364969,0.000968833456901765,1822.5104606239,0.000960991363712364,0.00330325534928273,0.0223201867711776,0.00788658372309717
