end,production_resource_name,start,avail_qty,nominal_power
2023-04-21 02:00:00+00:00,COO I T,2023-04-21 01:30:00+00:00,0.0,158.0
2023-04-21 11:00:00+00:00,COO I T,2023-04-21 02:00:00+00:00,0.0,158.0
2023-04-21 11:30:00+00:00,COO I T,2023-04-21 11:00:00+00:00,0.0,158.0
2023-04-21 11:30:00+00:00,COO I T,2023-04-21 11:30:00+00:00,0.0,158.0
2023-05-05 10:30:00+00:00,COO I T,2023-05-03 05:15:00+00:00,0.0,790.0
2023-05-03 05:15:00+00:00,COO I T,2023-05-03 04:00:00+00:00,0.0,158.0
2023-05-05 11:00:00+00:00,COO I T,2023-05-05 10:30:00+00:00,0.0,158.0
2023-05-05 11:30:00+00:00,COO I T,2023-05-05 11:00:00+00:00,0.0,158.0
2023-05-05 11:45:00+00:00,COO I T,2023-05-05 11:30:00+00:00,0.0,158.0
2023-05-17 12:00:00+00:00,COO I T,2023-05-08 06:00:00+00:00,0.0,158.0
2023-05-17 12:45:00+00:00,COO I T,2023-05-17 12:00:00+00:00,0.0,158.0
2023-05-17 12:45:00+00:00,COO I T,2023-05-17 12:45:00+00:00,0.0,158.0
2023-05-23 09:00:00+00:00,COO I T,2023-05-23 08:45:00+00:00,0.0,158.0
2023-05-23 10:00:00+00:00,COO I T,2023-05-23 09:00:00+00:00,0.0,158.0
2023-05-25 09:00:00+00:00,COO I T,2023-05-25 08:45:00+00:00,0.0,158.0
2023-05-25 08:45:00+00:00,COO I T,2023-05-25 08:45:00+00:00,0.0,158.0
2023-05-25 10:00:00+00:00,COO I T,2023-05-25 09:00:00+00:00,0.0,158.0
2023-05-31 06:00:00+00:00,COO I T,2023-05-31 05:30:00+00:00,0.0,158.0
2023-05-31 09:00:00+00:00,COO I T,2023-05-31 06:00:00+00:00,0.0,158.0
2023-06-02 08:00:00+00:00,COO I T,2023-06-02 07:00:00+00:00,0.0,158.0
2023-06-13 15:00:00+00:00,COO I T,2023-06-13 08:00:00+00:00,0.0,316.0
2023-06-14 15:00:00+00:00,COO I T,2023-06-14 08:00:00+00:00,0.0,316.0
2023-06-23 11:30:00+00:00,COO I T,2023-06-23 11:30:00+00:00,0.0,158.0
2023-06-23 12:15:00+00:00,COO I T,2023-06-23 12:00:00+00:00,0.0,158.0
2023-06-23 13:00:00+00:00,COO I T,2023-06-23 12:15:00+00:00,0.0,158.0
2023-06-23 17:30:00+00:00,COO I T,2023-06-23 17:15:00+00:00,0.0,158.0
2023-06-23 18:30:00+00:00,COO I T,2023-06-23 17:30:00+00:00,0.0,158.0
2023-06-23 18:30:00+00:00,COO I T,2023-06-23 18:30:00+00:00,0.0,158.0
2023-07-10 15:00:00+00:00,COO I T,2023-06-26 07:00:00+00:00,0.0,1106.0
2023-06-26 07:00:00+00:00,COO I T,2023-06-26 06:00:00+00:00,0.0,158.0
2023-07-13 07:30:00+00:00,COO I T,2023-07-13 07:15:00+00:00,0.0,158.0
2023-07-13 08:00:00+00:00,COO I T,2023-07-13 07:30:00+00:00,0.0,158.0
2023-07-13 09:00:00+00:00,COO I T,2023-07-13 08:00:00+00:00,0.0,158.0
2023-07-13 09:45:00+00:00,COO I T,2023-07-13 09:00:00+00:00,0.0,158.0
2023-07-13 10:00:00+00:00,COO I T,2023-07-13 09:45:00+00:00,0.0,158.0
2023-07-18 07:30:00+00:00,COO I T,2023-07-18 07:30:00+00:00,0.0,158.0
2023-07-18 08:00:00+00:00,COO I T,2023-07-18 07:30:00+00:00,0.0,158.0
2023-07-18 09:00:00+00:00,COO I T,2023-07-18 08:00:00+00:00,0.0,158.0
2023-07-18 09:30:00+00:00,COO I T,2023-07-18 09:00:00+00:00,0.0,158.0
2023-07-28 17:15:00+00:00,COO I T,2023-07-28 17:15:00+00:00,0.0,158.0
2023-07-28 17:45:00+00:00,COO I T,2023-07-28 17:15:00+00:00,0.0,158.0
2023-08-01 09:00:00+00:00,COO I T,2023-08-01 08:00:00+00:00,0.0,158.0
2023-08-01 09:45:00+00:00,COO I T,2023-08-01 09:00:00+00:00,0.0,158.0
2023-08-01 10:00:00+00:00,COO I T,2023-08-01 09:45:00+00:00,0.0,158.0
2023-08-03 15:45:00+00:00,COO I T,2023-08-03 15:15:00+00:00,0.0,316.0
2023-08-11 07:00:00+00:00,COO I T,2023-08-11 06:15:00+00:00,0.0,158.0
2023-08-11 06:15:00+00:00,COO I T,2023-08-11 06:15:00+00:00,0.0,158.0
2023-08-11 08:00:00+00:00,COO I T,2023-08-11 07:00:00+00:00,0.0,158.0
2023-08-11 08:15:00+00:00,COO I T,2023-08-11 08:00:00+00:00,0.0,158.0
