end,production_resource_name,start,avail_qty,nominal_power
2023-01-13 22:00:00+00:00,Olkiluoto 2,2023-01-13 20:00:00+00:00,470,890.0
2023-01-13 22:30:00+00:00,Olkiluoto 2,2023-01-13 22:00:00+00:00,470,890.0
2023-01-26 06:30:00+00:00,Olkiluoto 2,2023-01-26 06:15:00+00:00,605,890.0
2023-01-26 07:00:00+00:00,Olkiluoto 2,2023-01-26 06:30:00+00:00,605,890.0
2023-01-27 15:00:00+00:00,Olkiluoto 2,2023-01-26 07:00:00+00:00,605,890.0
2023-01-29 12:00:00+00:00,Olkiluoto 2,2023-01-27 15:00:00+00:00,0,890.0
2023-01-29 12:15:00+00:00,Olkiluoto 2,2023-01-29 12:00:00+00:00,0,890.0
2023-01-29 12:15:00+00:00,Olkiluoto 2,2023-01-29 12:15:00+00:00,0,890.0
2023-01-29 15:30:00+00:00,Olkiluoto 2,2023-01-29 15:00:00+00:00,190,890.0
2023-01-29 15:30:00+00:00,Olkiluoto 2,2023-01-29 15:30:00+00:00,190,890.0
2023-03-10 19:30:00+00:00,Olkiluoto 2,2023-03-10 19:15:00+00:00,585,890.0
2023-03-10 20:30:00+00:00,Olkiluoto 2,2023-03-10 19:30:00+00:00,585,890.0
2023-03-10 20:45:00+00:00,Olkiluoto 2,2023-03-10 20:30:00+00:00,585,890.0
2023-05-18 06:00:00+00:00,Olkiluoto 2,2023-05-01 15:00:00+00:00,0,890.0
2023-05-19 11:30:00+00:00,Olkiluoto 2,2023-05-19 11:30:00+00:00,0,890.0
2023-05-19 12:00:00+00:00,Olkiluoto 2,2023-05-19 11:30:00+00:00,0,890.0
2023-05-20 13:00:00+00:00,Olkiluoto 2,2023-05-19 12:00:00+00:00,0,890.0
2023-05-21 18:00:00+00:00,Olkiluoto 2,2023-05-21 14:00:00+00:00,590,890.0
2023-07-11 06:30:00+00:00,Olkiluoto 2,2023-07-11 06:15:00+00:00,570,890.0
2023-07-11 07:30:00+00:00,Olkiluoto 2,2023-07-11 06:30:00+00:00,570,890.0
2023-08-18 01:00:00+00:00,Olkiluoto 2,2023-08-17 22:00:00+00:00,615,890.0
2023-08-18 01:15:00+00:00,Olkiluoto 2,2023-08-18 01:00:00+00:00,615,890.0
2023-08-18 01:30:00+00:00,Olkiluoto 2,2023-08-18 01:15:00+00:00,0,890.0
2023-08-18 02:00:00+00:00,Olkiluoto 2,2023-08-18 01:30:00+00:00,0,890.0
2023-09-04 17:00:00+00:00,Olkiluoto 2,2023-08-18 02:00:00+00:00,0,890.0
2023-09-04 17:00:00+00:00,Olkiluoto 2,2023-09-04 17:00:00+00:00,0,890.0
2023-11-17 11:30:00+00:00,Olkiluoto 2,2023-11-17 11:15:00+00:00,590,890.0
2023-11-17 12:30:00+00:00,Olkiluoto 2,2023-11-17 11:30:00+00:00,590,890.0
2023-06-03 19:00:00+00:00,Olkiluoto 3,2023-05-27 06:00:00+00:00,1600,1600.0
2023-07-12 10:00:00+00:00,Olkiluoto 3,2023-06-16 06:00:00+00:00,45743,51200.0
2023-06-16 06:00:00+00:00,Olkiluoto 3,2023-06-03 19:00:00+00:00,1570,1600.0
2023-07-13 08:00:00+00:00,Olkiluoto 3,2023-07-12 10:00:00+00:00,1570,1600.0
2023-07-13 08:30:00+00:00,Olkiluoto 3,2023-07-13 08:00:00+00:00,1570,1600.0
2023-07-13 09:00:00+00:00,Olkiluoto 3,2023-07-13 08:30:00+00:00,1410,1600.0
2023-07-13 09:30:00+00:00,Olkiluoto 3,2023-07-13 09:00:00+00:00,1410,1600.0
2023-07-13 10:00:00+00:00,Olkiluoto 3,2023-07-13 09:30:00+00:00,1570,1600.0
2023-07-27 04:00:00+00:00,Olkiluoto 3,2023-07-13 10:00:00+00:00,1570,1600.0
2023-07-27 04:30:00+00:00,Olkiluoto 3,2023-07-27 04:00:00+00:00,1400,1600.0
2023-07-27 04:45:00+00:00,Olkiluoto 3,2023-07-27 04:30:00+00:00,1400,1600.0
2023-07-27 05:00:00+00:00,Olkiluoto 3,2023-07-27 04:45:00+00:00,1570,1600.0
2023-09-11 22:00:00+00:00,Olkiluoto 3,2023-07-30 17:00:00+00:00,20694,22400.0
2023-07-30 17:00:00+00:00,Olkiluoto 3,2023-07-27 05:00:00+00:00,1570,1600.0
2023-09-21 00:00:00+00:00,Olkiluoto 3,2023-09-11 22:00:00+00:00,1570,1600.0
