avail_qty,end,nominal_power,production_resource_name,start
215.0,2023-01-16 11:15:00+0000,430.0,Reisseck 2,2023-01-16 08:00:00+0000
120.0,2023-01-16 14:45:00+0000,231.0,Roßhag,2023-01-16 14:30:00+0000
547.5,2023-01-17 08:30:00+0000,730.0,Malta-Hauptstufe,2023-01-17 05:00:00+0000
120.0,2023-01-17 09:15:00+0000,231.0,Roßhag,2023-01-17 06:45:00+0000
222.0,2023-01-19 09:15:00+0000,328.0,Altenwörth,2023-01-19 06:15:00+0000
0.0,2023-01-19 15:00:00+0000,480.0,Limberg II,2023-01-19 13:30:00+0000
547.5,2023-01-19 14:30:00+0000,730.0,Malta-Hauptstufe,2023-01-18 12:30:00+0000
0.0,2023-01-22 07:00:00+0000,395.0,KW Donaustadt,2023-01-21 21:00:00+0000
0.0,2023-01-21 01:45:00+0000,480.0,Limberg II,2023-01-21 00:00:00+0000
240.0,2023-01-21 22:45:00+0000,480.0,Limberg II,2023-01-21 19:30:00+0000
0.0,2023-01-22 07:30:00+0000,480.0,Limberg II,2023-01-22 04:45:00+0000
240.0,2023-01-23 00:30:00+0000,480.0,Limberg II,2023-01-22 23:00:00+0000
547.5,2023-01-23 22:45:00+0000,730.0,Malta-Hauptstufe,2023-01-23 22:00:00+0000
547.5,2023-01-24 21:15:00+0000,730.0,Malta-Hauptstufe,2023-01-24 20:00:00+0000
0.0,2023-01-25 05:15:00+0000,395.0,KW Donaustadt,2023-01-25 04:15:00+0000
0.0,2023-01-25 11:15:00+0000,112.8,Kaprun-Oberstufe,2023-01-25 08:45:00+0000
243.5,2023-01-25 14:15:00+0000,355.0,Mayrhofen,2023-01-24 05:45:00+0000
120.0,2023-01-28 09:15:00+0000,231.0,Roßhag,2023-01-28 08:00:00+0000
240.0,2023-01-29 02:15:00+0000,480.0,Limberg II,2023-01-29 00:45:00+0000
0.0,2023-02-01 00:15:00+0000,480.0,Limberg II,2023-01-31 21:45:00+0000
0.0,2023-02-01 13:30:00+0000,112.8,Kaprun-Oberstufe,2023-02-01 11:45:00+0000
120.0,2023-02-01 13:45:00+0000,231.0,Roßhag,2023-02-01 05:45:00+0000
547.5,2023-02-01 15:30:00+0000,730.0,Malta-Hauptstufe,2023-01-31 21:45:00+0000
0.0,2023-02-01 15:30:00+0000,156.0,Malta-Oberstufe,2023-01-30 19:15:00+0000
0.0,2023-02-01 23:00:00+0000,295.0,KW Simmering,2023-02-01 22:59:00+0000
0.0,2023-02-02 03:00:00+0000,295.0,KW Simmering,2023-02-01 23:00:00+0000
0.0,2023-02-01 23:00:00+0000,250.0,KW Simmering,2023-02-01 22:59:00+0000
0.0,2023-02-02 03:00:00+0000,250.0,KW Simmering,2023-02-01 23:00:00+0000
0.0,2023-02-01 23:00:00+0000,295.0,KW Simmering,2023-02-01 22:59:00+0000
0.0,2023-02-02 03:00:00+0000,295.0,KW Simmering,2023-02-01 23:00:00+0000
0.0,2023-02-02 09:45:00+0000,112.8,Kaprun-Oberstufe,2023-02-02 09:30:00+0000
0.0,2023-02-02 22:15:00+0000,480.0,Limberg II,2023-02-02 20:45:00+0000
547.5,2023-02-03 10:15:00+0000,730.0,Malta-Hauptstufe,2023-02-03 06:00:00+0000
0.0,2023-02-03 14:30:00+0000,480.0,Limberg II,2023-02-03 13:15:00+0000
547.5,2023-02-03 16:30:00+0000,730.0,Malta-Hauptstufe,2023-02-03 13:45:00+0000
240.0,2023-02-04 12:30:00+0000,480.0,Limberg II,2023-02-04 10:45:00+0000
0.0,2023-02-05 01:15:00+0000,480.0,Limberg II,2023-02-04 23:45:00+0000
215.0,2023-02-05 09:30:00+0000,430.0,Reisseck 2,2023-02-04 22:00:00+0000
547.5,2023-02-05 17:00:00+0000,730.0,Malta-Hauptstufe,2023-02-05 16:00:00+0000
200.0,2023-02-07 14:45:00+0000,360.0,Häusling,2023-01-30 06:00:00+0000
547.5,2023-01-17 14:45:00+0000,730.0,Malta-Hauptstufe,2023-01-17 12:00:00+0000
547.5,2023-02-07 23:30:00+0000,730.0,Malta-Hauptstufe,2023-02-07 22:30:00+0000
547.5,2023-02-08 12:45:00+0000,730.0,Malta-Hauptstufe,2023-02-08 10:00:00+0000
365.0,2023-02-08 13:15:00+0000,730.0,Malta-Hauptstufe,2023-02-08 12:45:00+0000
547.5,2023-02-08 15:30:00+0000,730.0,Malta-Hauptstufe,2023-02-08 13:15:00+0000
215.0,2023-02-12 08:15:00+0000,430.0,Reisseck 2,2023-02-12 06:00:00+0000
248.0,2023-02-13 13:15:00+0000,355.0,Mayrhofen,2023-02-13 11:30:00+0000
215.0,2023-02-14 08:30:00+0000,430.0,Reisseck 2,2023-02-14 06:45:00+0000
240.0,2023-02-17 01:45:00+0000,480.0,Limberg II,2023-02-17 00:00:00+0000
215.0,2023-02-19 03:45:00+0000,430.0,Reisseck 2,2023-02-18 23:45:00+0000
547.5,2023-02-19 18:00:00+0000,730.0,Malta-Hauptstufe,2023-02-19 17:00:00+0000
547.5,2023-02-19 22:45:00+0000,730.0,Malta-Hauptstufe,2023-02-19 21:45:00+0000
240.0,2023-02-20 10:15:00+0000,480.0,Limberg II,2023-02-20 09:45:00+0000
243.5,2023-02-20 15:15:00+0000,355.0,Mayrhofen,2023-02-16 15:45:00+0000
0.0,2023-02-20 21:45:00+0000,480.0,Limberg II,2023-02-20 19:45:00+0000
547.5,2023-02-21 06:15:00+0000,730.0,Malta-Hauptstufe,2023-02-21 05:00:00+0000
0.0,2023-02-21 06:15:00+0000,395.0,KW Donaustadt,2023-02-21 06:00:00+0000
0.0,2023-02-21 07:15:00+0000,395.0,KW Donaustadt,2023-02-21 06:15:00+0000
240.0,2023-02-21 09:45:00+0000,480.0,Limberg II,2023-02-21 07:00:00+0000
547.5,2023-02-21 14:15:00+0000,730.0,Malta-Hauptstufe,2023-02-21 13:45:00+0000
243.5,2023-02-23 09:00:00+0000,355.0,Mayrhofen,2023-02-22 23:15:00+0000
0.0,2023-02-23 11:45:00+0000,200.2,Gerlos,2023-02-23 06:15:00+0000
243.5,2023-02-15 15:00:00+0000,355.0,Mayrhofen,2023-02-14 06:00:00+0000
80.0,2023-02-23 19:00:00+0000,200.2,Gerlos,2023-02-23 17:00:00+0000
200.0,2023-02-25 11:15:00+0000,360.0,Häusling,2023-02-25 08:00:00+0000
215.0,2023-02-28 14:30:00+0000,430.0,Reisseck 2,2023-02-28 08:00:00+0000
77.0,2023-02-28 15:00:00+0000,225.0,Kraftwerk Theiß,2023-02-28 14:45:00+0000
77.0,2023-02-28 15:15:00+0000,225.0,Kraftwerk Theiß,2023-02-28 15:00:00+0000
141.9,2023-03-01 16:45:00+0000,236.5,Ybbs-Persenbeug,2023-03-01 06:45:00+0000
80.0,2023-03-02 13:00:00+0000,200.2,Gerlos,2023-03-02 11:45:00+0000
0.0,2023-03-02 13:00:00+0000,231.0,Roßhag,2023-03-02 11:45:00+0000
0.0,2023-03-05 19:15:00+0000,417.0,GDK-Mellach,2023-03-05 16:30:00+0000
0.0,2023-03-12 23:00:00+0000,250.0,KW Simmering,2023-03-11 23:00:00+0000
547.5,2023-03-07 05:00:00+0000,730.0,Malta-Hauptstufe,2023-02-27 06:00:00+0000
96.9,2023-03-07 10:15:00+0000,236.5,Ybbs-Persenbeug,2023-03-07 08:45:00+0000
0.0,2023-03-07 15:45:00+0000,120.0,Kaprun-Schwarzach,2023-03-07 14:45:00+0000
215.0,2023-03-07 18:45:00+0000,430.0,Reisseck 2,2023-03-07 16:00:00+0000
0.0,2023-03-08 02:15:00+0000,480.0,Limberg II,2023-03-08 00:45:00+0000
215.0,2023-03-08 10:30:00+0000,430.0,Reisseck 2,2023-03-08 09:15:00+0000
0.0,2023-03-02 12:15:00+0000,120.0,Kaprun-Schwarzach,2023-03-02 07:00:00+0000
80.0,2023-03-08 15:45:00+0000,179.0,Ottensheim-Wilhering,2023-03-08 07:15:00+0000
240.0,2023-03-08 18:30:00+0000,480.0,Limberg II,2023-03-08 17:00:00+0000
240.0,2023-03-10 07:30:00+0000,480.0,Limberg II,2023-03-10 06:00:00+0000
0.0,2023-03-12 13:00:00+0000,295.0,KW Simmering,2023-03-11 23:00:00+0000
0.0,2023-03-12 13:00:00+0000,250.0,KW Simmering,2023-03-11 23:00:00+0000
0.0,2023-03-12 13:00:00+0000,295.0,KW Simmering,2023-03-11 23:00:00+0000
240.0,2023-03-13 19:45:00+0000,480.0,Limberg II,2023-03-13 06:45:00+0000
0.0,2023-03-13 22:30:00+0000,480.0,Limberg II,2023-03-13 19:45:00+0000
365.0,2023-03-15 01:15:00+0000,730.0,Malta-Hauptstufe,2023-03-07 05:00:00+0000
0.0,2023-03-15 13:30:00+0000,200.2,Gerlos,2023-03-15 07:00:00+0000
0.0,2023-03-16 05:45:00+0000,250.0,KW Simmering,2023-03-16 02:15:00+0000
0.0,2023-03-16 05:59:00+0000,250.0,KW Simmering,2023-03-16 05:45:00+0000
200.0,2023-03-16 06:00:00+0000,360.0,Häusling,2023-03-16 03:45:00+0000
0.0,2023-03-16 08:45:00+0000,260.0,Kaprun-Hauptstufe,2023-03-16 07:30:00+0000
215.0,2023-03-16 11:30:00+0000,430.0,Reisseck 2,2023-03-16 07:00:00+0000
0.0,2023-03-16 11:45:00+0000,430.0,Reisseck 2,2023-03-16 11:30:00+0000
215.0,2023-03-16 13:15:00+0000,430.0,Reisseck 2,2023-03-16 11:45:00+0000
547.5,2023-03-16 17:15:00+0000,730.0,Malta-Hauptstufe,2023-03-15 01:15:00+0000
240.0,2023-03-16 18:00:00+0000,480.0,Limberg II,2023-03-13 22:30:00+0000
547.5,2023-03-19 13:00:00+0000,730.0,Malta-Hauptstufe,2023-03-19 11:45:00+0000
0.0,2023-03-26 22:00:00+0000,295.0,KW Simmering,2023-03-24 23:00:00+0000
0.0,2023-03-26 22:00:00+0000,250.0,KW Simmering,2023-03-24 23:00:00+0000
0.0,2023-03-26 22:00:00+0000,295.0,KW Simmering,2023-03-24 23:00:00+0000
0.0,2023-03-20 13:45:00+0000,480.0,Limberg II,2023-03-19 11:45:00+0000
0.0,2023-03-20 14:15:00+0000,156.0,Malta-Oberstufe,2023-03-20 07:15:00+0000
0.0,2023-02-15 09:00:00+0000,231.0,Roßhag,2023-02-15 08:00:00+0000
240.0,2023-03-21 03:00:00+0000,480.0,Limberg II,2023-03-21 02:45:00+0000
215.0,2023-03-21 03:30:00+0000,430.0,Reisseck 2,2023-03-21 02:45:00+0000
240.0,2023-03-21 12:30:00+0000,480.0,Limberg II,2023-03-21 12:00:00+0000
222.0,2023-03-23 10:15:00+0000,328.0,Altenwörth,2023-03-23 10:00:00+0000
240.0,2023-03-23 10:30:00+0000,480.0,Limberg II,2023-03-23 07:00:00+0000
547.5,2023-03-23 13:15:00+0000,730.0,Malta-Hauptstufe,2023-03-23 11:00:00+0000
0.0,2023-03-24 09:15:00+0000,480.0,Limberg II,2023-03-24 07:45:00+0000
547.5,2023-03-24 09:45:00+0000,730.0,Malta-Hauptstufe,2023-03-24 07:45:00+0000
0.0,2023-03-25 10:15:00+0000,395.0,KW Donaustadt,2023-03-24 01:00:00+0000
0.0,2023-03-25 16:15:00+0000,156.0,Malta-Oberstufe,2023-03-25 15:45:00+0000
547.5,2023-03-26 07:45:00+0000,730.0,Malta-Hauptstufe,2023-03-26 07:00:00+0000
0.0,2023-03-26 22:00:00+0000,395.0,KW Donaustadt,2023-03-25 16:45:00+0000
0.0,2023-03-28 02:15:00+0000,250.0,KW Simmering,2023-03-28 02:00:00+0000
0.0,2023-03-28 07:00:00+0000,250.0,KW Simmering,2023-03-28 02:15:00+0000
0.0,2023-03-29 16:00:00+0000,231.0,Roßhag,2023-03-28 05:00:00+0000
240.0,2023-03-30 11:30:00+0000,480.0,Limberg II,2023-03-27 05:30:00+0000
0.0,2023-03-30 13:00:00+0000,395.0,KW Donaustadt,2023-03-29 14:45:00+0000
0.0,2023-03-31 03:30:00+0000,295.0,KW Simmering,2023-03-31 03:15:00+0000
0.0,2023-03-31 03:30:00+0000,250.0,KW Simmering,2023-03-31 03:15:00+0000
0.0,2023-03-31 05:00:00+0000,250.0,KW Simmering,2023-03-31 03:30:00+0000
0.0,2023-03-31 05:15:00+0000,250.0,KW Simmering,2023-03-31 05:00:00+0000
106.0,2023-03-31 06:30:00+0000,250.0,KW Simmering,2023-03-31 05:15:00+0000
0.0,2023-03-31 06:30:00+0000,295.0,KW Simmering,2023-03-31 03:30:00+0000
365.0,2023-03-30 23:45:00+0000,730.0,Malta-Hauptstufe,2023-03-30 22:00:00+0000
547.5,2023-03-31 23:30:00+0000,730.0,Malta-Hauptstufe,2023-03-31 21:00:00+0000
200.0,2023-03-31 23:15:00+0000,360.0,Häusling,2023-03-31 22:00:00+0000
0.0,2023-04-01 09:45:00+0000,260.0,Kaprun-Hauptstufe,2023-04-01 05:00:00+0000
240.0,2023-04-02 00:15:00+0000,480.0,Limberg II,2023-04-01 22:45:00+0000
0.0,2023-04-02 19:00:00+0000,295.0,KW Simmering,2023-04-02 15:45:00+0000
0.0,2023-04-02 15:45:00+0000,295.0,KW Simmering,2023-04-02 15:30:00+0000
0.0,2023-04-02 15:45:00+0000,250.0,KW Simmering,2023-04-02 15:30:00+0000
0.0,2023-04-02 19:00:00+0000,250.0,KW Simmering,2023-04-02 15:45:00+0000
120.0,2023-04-03 06:45:00+0000,231.0,Roßhag,2023-04-03 04:00:00+0000
0.0,2023-04-03 11:30:00+0000,295.0,KW Simmering,2023-04-03 07:15:00+0000
0.0,2023-04-03 07:15:00+0000,295.0,KW Simmering,2023-04-03 07:00:00+0000
0.0,2023-04-03 11:30:00+0000,250.0,KW Simmering,2023-04-03 07:15:00+0000
0.0,2023-04-03 07:15:00+0000,250.0,KW Simmering,2023-04-03 07:00:00+0000
547.5,2023-04-04 09:00:00+0000,730.0,Malta-Hauptstufe,2023-04-04 08:00:00+0000
365.0,2023-04-04 10:15:00+0000,730.0,Malta-Hauptstufe,2023-04-04 09:00:00+0000
0.0,2023-04-11 12:00:00+0000,730.0,Malta-Hauptstufe,2023-04-11 11:00:00+0000
200.0,2023-04-04 13:30:00+0000,360.0,Häusling,2023-04-04 10:30:00+0000
240.0,2023-04-05 12:45:00+0000,480.0,Limberg II,2023-04-05 10:00:00+0000
0.0,2023-03-25 08:45:00+0000,156.0,Malta-Oberstufe,2023-03-25 07:00:00+0000
0.0,2023-03-13 12:45:00+0000,355.0,Mayrhofen,2023-03-13 11:00:00+0000
200.0,2023-04-06 05:30:00+0000,360.0,Häusling,2023-04-06 03:30:00+0000
0.0,2023-04-06 08:30:00+0000,480.0,Limberg II,2023-04-06 07:45:00+0000
248.0,2023-04-06 14:30:00+0000,355.0,Mayrhofen,2023-04-06 07:45:00+0000
0.0,2023-04-06 19:45:00+0000,200.2,Gerlos,2023-03-20 04:15:00+0000
0.0,2023-04-09 10:30:00+0000,480.0,Limberg II,2023-04-09 08:00:00+0000
240.0,2023-04-09 17:45:00+0000,480.0,Limberg II,2023-04-09 15:30:00+0000
240.0,2023-04-10 09:00:00+0000,480.0,Limberg II,2023-04-10 06:45:00+0000
80.0,2023-04-11 13:30:00+0000,200.2,Gerlos,2023-04-11 12:15:00+0000
547.5,2023-04-12 07:00:00+0000,730.0,Malta-Hauptstufe,2023-04-12 06:30:00+0000
547.5,2023-04-12 08:00:00+0000,730.0,Malta-Hauptstufe,2023-04-12 07:30:00+0000
80.0,2023-04-12 09:15:00+0000,200.2,Gerlos,2023-04-12 08:15:00+0000
0.0,2023-03-26 22:00:00+0000,250.0,KW Simmering,2023-03-24 23:00:00+0000
547.5,2023-04-12 13:15:00+0000,730.0,Malta-Hauptstufe,2023-04-12 10:00:00+0000
0.0,2023-04-26 12:30:00+0000,200.2,Gerlos,2023-04-26 06:00:00+0000
0.0,2023-03-17 11:00:00+0000,120.0,Kaprun-Schwarzach,2023-03-17 07:00:00+0000
0.0,2023-04-13 08:00:00+0000,260.0,Kraftwerk Theiß,2023-04-13 06:45:00+0000
0.0,2023-04-14 08:30:00+0000,112.8,Kaprun-Oberstufe,2023-04-14 04:30:00+0000
57.5,2023-04-14 15:45:00+0000,355.0,Mayrhofen,2023-04-14 12:30:00+0000
0.0,2023-04-16 17:30:00+0000,112.8,Kaprun-Oberstufe,2023-04-16 15:45:00+0000
110.0,2023-04-17 07:45:00+0000,260.0,Kaprun-Hauptstufe,2023-04-11 11:45:00+0000
0.0,2023-04-17 09:30:00+0000,260.0,Kaprun-Hauptstufe,2023-04-17 08:00:00+0000
110.0,2023-04-17 08:00:00+0000,260.0,Kaprun-Hauptstufe,2023-04-17 07:45:00+0000
0.0,2023-04-19 06:30:00+0000,112.8,Kaprun-Oberstufe,2023-04-19 06:00:00+0000
0.0,2023-04-20 09:45:00+0000,112.8,Kaprun-Oberstufe,2023-04-20 08:45:00+0000
80.0,2023-04-20 12:15:00+0000,200.2,Gerlos,2023-04-20 08:45:00+0000
547.5,2023-04-20 15:45:00+0000,730.0,Malta-Hauptstufe,2023-04-20 15:00:00+0000
0.0,2023-04-21 07:45:00+0000,328.0,Altenwörth,2023-04-21 03:00:00+0000
0.0,2023-03-26 16:00:00+0000,260.0,Kaprun-Hauptstufe,2023-03-26 05:00:00+0000
0.0,2023-03-02 14:15:00+0000,260.0,Kaprun-Hauptstufe,2023-03-02 08:00:00+0000
0.0,2023-04-24 14:30:00+0000,112.8,Kaprun-Oberstufe,2023-04-24 12:15:00+0000
215.0,2023-04-24 17:00:00+0000,430.0,Reisseck 2,2023-04-24 14:45:00+0000
0.0,2023-04-25 09:15:00+0000,112.8,Kaprun-Oberstufe,2023-04-25 08:00:00+0000
0.0,2023-04-25 23:00:00+0000,156.0,Malta-Oberstufe,2023-04-25 18:45:00+0000
110.0,2023-04-27 05:45:00+0000,260.0,Kaprun-Hauptstufe,2023-04-17 09:30:00+0000
0.0,2023-04-27 09:30:00+0000,360.0,Häusling,2023-04-27 09:15:00+0000
547.5,2023-04-28 12:00:00+0000,730.0,Malta-Hauptstufe,2023-04-28 11:15:00+0000
0.0,2023-04-29 07:15:00+0000,260.0,Kaprun-Hauptstufe,2023-04-27 05:45:00+0000
0.0,2023-04-29 07:15:00+0000,480.0,Limberg II,2023-04-10 12:00:00+0000
547.5,2023-04-27 15:00:00+0000,730.0,Malta-Hauptstufe,2023-04-24 05:00:00+0000
0.0,2023-04-30 13:15:00+0000,395.0,KW Donaustadt,2023-04-27 22:00:00+0000
0.0,2023-04-30 13:30:00+0000,395.0,KW Donaustadt,2023-04-30 13:15:00+0000
200.0,2023-04-30 19:15:00+0000,360.0,Häusling,2023-04-30 17:45:00+0000
0.0,2023-04-30 22:15:00+0000,156.0,Malta-Oberstufe,2023-04-30 18:30:00+0000
0.0,2023-05-02 07:00:00+0000,260.0,Kaprun-Hauptstufe,2023-05-02 06:00:00+0000
240.0,2023-05-02 22:30:00+0000,480.0,Limberg II,2023-05-02 18:00:00+0000
