end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-03-12 01:30:00+00:00,Alqueva,2023-03-12 01:15:00+00:00,0,127.0,,0.0
2023-03-12 02:00:00+00:00,Alqueva,2023-03-12 01:30:00+00:00,0,127.0,,0.0
2023-03-12 23:00:00+00:00,Alqueva,2023-03-12 02:00:00+00:00,0,127.0,,0.0
2023-03-17 07:15:00+00:00,Alqueva,2023-03-17 07:00:00+00:00,0,127.0,,0.0
2023-03-17 07:30:00+00:00,Alqueva,2023-03-17 07:15:00+00:00,0,127.0,,0.0
2023-03-17 08:00:00+00:00,Alqueva,2023-03-17 07:30:00+00:00,0,127.0,,0.0
2023-03-17 08:15:00+00:00,Alqueva,2023-03-17 08:00:00+00:00,0,127.0,,0.0
2023-03-25 02:00:00+00:00,Alqueva,2023-03-25 01:45:00+00:00,0,127.0,,0.0
2023-03-25 15:00:00+00:00,Alqueva,2023-03-25 02:00:00+00:00,0,127.0,,0.0
2023-03-25 15:30:00+00:00,Alqueva,2023-03-25 15:15:00+00:00,0,635.0,,0.0
2023-03-25 15:15:00+00:00,Alqueva,2023-03-25 15:00:00+00:00,0,127.0,,0.0
2023-03-25 16:00:00+00:00,Alqueva,2023-03-25 15:30:00+00:00,0,254.0,,0.0
2023-03-25 15:30:00+00:00,Alqueva,2023-03-25 15:30:00+00:00,0,127.0,,0.0
2023-03-25 23:00:00+00:00,Alqueva,2023-03-25 16:00:00+00:00,0,254.0,,0.0
2023-03-30 08:00:00+00:00,Alqueva,2023-03-30 07:30:00+00:00,0,127.0,,0.0
2023-03-30 16:00:00+00:00,Alqueva,2023-03-30 08:00:00+00:00,0,127.0,,0.0
2023-03-30 16:30:00+00:00,Alqueva,2023-03-30 16:00:00+00:00,0,127.0,,0.0
2023-03-30 16:45:00+00:00,Alqueva,2023-03-30 16:30:00+00:00,0,127.0,,0.0
2023-03-30 16:45:00+00:00,Alqueva,2023-03-30 16:45:00+00:00,0,127.0,,0.0
2023-04-02 13:15:00+00:00,Alqueva,2023-04-02 13:15:00+00:00,0,127.0,,0.0
