Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,GRAVELINES 5,910.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037692308,0.0037692308,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CHINON 1,905.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037900552,0.0037900552,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CHINON 4,905.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037900552,0.0037900552,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CHINON 3,905.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037900552,0.0037900552,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,CHINON 2,905.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0037900552,0.0037900552,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 1,890.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0038539326,0.0038539326,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 2,890.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0038539326,0.0038539326,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 4,890.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0038539326,0.0038539326,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 3,890.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0038539326,0.0038539326,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BUGEY 5,880.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0038977273,0.0038977273,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,BUGEY 4,880.0,1.0,FR,,,STUR,NUC,0.405,24.0,24.0,0.0038977273,0.0038977273,200000.0,,0.0,0.9,0.405,72.0,0.0,,,,,,,,,,,,,,,,,,,,
,REVIN,808.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.3712871287,0.3712871287,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,4503.0,0.0,808.0,0.86,,,,,,,,
,DK6,796.0,1.0,FR,,,COMC,GAS,0.525,5.0,1.0,0.0140326633,0.0140326633,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,SUPER BISSORTE,742.0,1.0,FR,,,HPHS,WAT,0.86,0.0,0.0,0.4043126685,0.4043126685,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,121515.66615358304,0.0,742.0,0.86,,,,,,,,
,BATHIE,576.0,1.0,FR,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,94330.22062596204,0.0,0.0,0.0,,,,,,,,
