07:00 - 08:00,35,,1305,,n/e,n/e,1123,,112,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1516,,62,,n/e,n/e,1395,,n/e,n/e,n/e,n/e,34,,n/e,n/e,n/e,n/e,2049,
08:00 - 09:00,34,,1307,,n/e,n/e,1112,,113,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1555,,66,,n/e,n/e,1395,,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,2204,
09:00 - 10:00,35,,1391,,n/e,n/e,1109,,113,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1575,,52,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,83,,n/e,n/e,n/e,n/e,2231,
10:00 - 11:00,35,,1476,,n/e,n/e,1101,,113,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1525,,37,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,79,,n/e,n/e,n/e,n/e,2258,
11:00 - 12:00,34,,1447,,n/e,n/e,1114,,112,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1463,,44,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,67,,n/e,n/e,n/e,n/e,2308,
12:00 - 13:00,32,,1340,,n/e,n/e,1215,,112,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1366,,43,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,42,,n/e,n/e,n/e,n/e,2370,
13:00 - 14:00,34,,1314,,n/e,n/e,1319,,114,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1542,,50,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,18,,n/e,n/e,n/e,n/e,2128,
14:00 - 15:00,35,,1495,,n/e,n/e,1357,,122,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1576,,98,,n/e,n/e,1393,,n/e,n/e,n/e,n/e,4,,n/e,n/e,n/e,n/e,2104,
15:00 - 16:00,35,,1736,,n/e,n/e,1390,,156,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1646,,240,,n/e,n/e,1393,,n/e,n/e,n/e,n/e,2,,n/e,n/e,n/e,n/e,1884,
16:00 - 17:00,36,,1703,,n/e,n/e,1558,,184,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1620,,453,,n/e,n/e,1392,,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,1591,
17:00 - 18:00,34,,1732,,n/e,n/e,1564,,216,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1732,,518,,n/e,n/e,1392,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,1188,
18:00 - 19:00,35,,1751,,n/e,n/e,1574,,234,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1799,,494,,n/e,n/e,1393,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,869,
19:00 - 20:00,36,,1676,,n/e,n/e,1558,,234,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1671,,477,,n/e,n/e,1393,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,791,
20:00 - 21:00,35,,1609,,n/e,n/e,1561,,236,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1513,,380,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,738,
21:00 - 22:00,36,,1583,,n/e,n/e,1545,,230,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1322,,116,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,811,
22:00 - 23:00,32,,1622,,n/e,n/e,1424,,233,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1159,,112,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,789,
23:00 - 00:00,32,,1603,,n/e,n/e,1333,,231,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,933,,74,,n/e,n/e,1393,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,695,
00:00 - 01:00,32,,1468,,n/e,n/e,1329,,233,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,937,,75,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,681,
01:00 - 02:00,30,,1431,,n/e,n/e,1331,,232,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,819,,72,,n/e,n/e,1394,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,693,
02:00 - 03:00,31,,1421,,n/e,n/e,1330,,228,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,656,,38,,n/e,n/e,1393,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,677,
