,CCGT,CHP,Imports_Exports,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-07-28 02:00:00,1.1600313339485161e-06,8.711123359512962e-06,-14.669815808746458,3.9900286638668367,-46.6498745008249,4.077777621331731,32.17983657727104,26.055012756207994,6.28846754449782,-11.27142287222961,0.0,-0.0,-3.543309795284489e-06,-6.787031535446175e-06
2013-07-28 03:00:00,1.161456512541462e-06,8.654589214801154e-06,-14.17146587155438,3.5635385537012865,-46.51830475343683,3.9559367873385276,32.179836567993995,26.305936755969892,5.955954953820223,-11.27142292810352,0.0,-0.0,-3.5588157503858056e-06,-6.803344353491247e-06
2013-07-28 04:00:00,1.1609661826848174e-06,8.422553977692481e-06,-8.231931988000039,1.3831292189359106,-47.950094195502466,3.103166613305304,32.17983658261916,25.614985214487476,5.172342010015685,-11.271423054098682,0.0,-0.0,-3.604832285079525e-06,-6.863942089392805e-06
2013-07-28 05:00:00,1.0165204742970647e-06,5.289619863281101e-06,12.15096676879663,-7.229990400477989e-06,-51.09232390296043,2.284304104228887,11.542993536654404,25.009324167590812,4.374969508285066,-11.271427124819391,7.0012362868668605,-5.068147314887028e-06,-7.894072156308808e-06,-1.4732139421588578e-05
2013-07-28 06:00:00,9.194241576861164e-07,4.122380441100061e-06,12.817627239524276,-0.005804820380768972,-45.85639012940823,-2.937577199176947,5.343946715677956e-06,26.110123959027444,3.963623935210746,-11.271428635423772,17.199144949852755,-0.009247575432969932,-0.003438193454278969,-0.006516752935774238
2013-07-28 07:00:00,9.21432533929459e-07,4.111826900673797e-06,-0.5497150690938752,-6.626381451389046,-34.35162548339036,-2.9208372136504726,5.0551051789728775e-06,26.800233016329003,4.0968462583851615,-11.271428660567011,24.92798238815093,-0.0332252308453128,-0.026346917116476104,-0.04538536105160268
2013-07-28 08:00:00,9.249667113308821e-07,4.106943599921907e-06,-0.5918513866534324,-16.196250332859957,-31.744573203035905,-2.907278600328241,5.1588670005412e-06,27.142023902274357,4.1792569668344335,-11.271428662597044,31.52396408925026,-0.035779275054232736,-0.03502109477671745,-0.06294624104971572
2013-07-28 09:00:00,9.261574527745986e-07,4.10604981155401e-06,-0.6192829406475394,-16.20023631622952,-36.61840051097011,-2.8905132309238017,5.210382918355502e-06,27.07588334373893,4.341163259853312,-11.271428664456964,36.31728877897721,-0.03504595867165535,-0.03532543071546475,-0.06398633146904839
2013-07-28 10:00:00,9.263325515739767e-07,4.107820567011559e-06,-1.1666462035682503,-16.20129387696826,-36.758017616369656,-2.875431369033384,5.2140129673869396e-06,25.515877449574237,4.545345484303236,-11.271428667004795,38.34975056737253,-0.03483810885098628,-0.03618857718244154,-0.06701320752645581
2013-07-28 11:00:00,9.257752508131298e-07,4.107804742157616e-06,-1.3731938087944788,-16.206141722301393,-35.3856508333834,-2.8603745374687763,5.216771921793515e-06,24.52088338121192,4.787734521596719,-11.27142867190926,37.931823854904174,-0.03501003055772805,-0.03756427915824024,-0.070962043482732
2013-07-28 12:00:00,9.258253383248393e-07,4.108458986112937e-06,-0.8782374611079231,-16.198809204340304,-33.159012939929035,-2.847348511550195,5.21091099158242e-06,23.638365547695326,5.128960723108802,-11.271428670192302,35.724420393012416,-0.03441242752330095,-0.035402125462310266,-0.0669792960653893
2013-07-28 13:00:00,9.257774533752024e-07,4.108632079130481e-06,-3.578145182183542,-16.194825508869133,-27.604461012290606,-2.8397557535003677,5.172274824502282e-06,22.89202586437606,5.5579773182889,-11.271428667334192,33.17479818900181,-0.03465103969829182,-0.034984675299650464,-0.06643346178025021
2013-07-28 14:00:00,9.262608211816814e-07,4.110670391142362e-06,-6.506505724322406,-12.077297289865022,-26.98845736027328,-2.8412278075850574,5.177739751703293e-06,23.312365022712047,6.040163592889369,-11.271428655705748,30.43979823026404,-0.03200592956989838,-0.02645259097853471,-0.048835579591222304
2013-07-28 15:00:00,9.257714861054563e-07,4.114335789907556e-06,-6.53051107662805,-2.455291164401666,-34.41052660705861,-2.8339352335033006,5.134358442328216e-06,23.723232824964025,6.623050408968507,-11.271428641238527,27.25896342270597,-0.03147853035661468,-0.025673891804716548,-0.04628581223782338
2013-07-28 16:00:00,9.299271926349276e-07,4.1382047493978054e-06,5.689456760531079,-0.002951453465658119,-45.06229152468511,-2.828692255978367,5.324109237665648e-06,23.612356015410768,7.445995791053096,-11.271428570693347,22.433049911488975,-0.007335944022161964,-0.002625578762640247,-0.005412999865577659
2013-07-28 17:00:00,1.0334098695269223e-06,5.313069590259845e-06,-9.394840837898812,1.3692643335204517,-55.55112742005136,2.6308368896665213,25.715893250979185,23.656409705266253,7.613744017763753,-11.271426977198061,15.231297259926462,-2.0910332260351764e-05,-7.3003080999562986e-06,-1.3680815208833273e-05
2013-07-28 18:00:00,1.0315600162442299e-06,5.31995422295117e-06,-20.654930635519886,13.55214807157879,-54.51863333522251,2.9333602040040114,31.501829379800675,24.66324682075785,7.370390778807179,-11.271426876925275,6.4240660957905975,-2.1184110702025874e-05,-7.284417815745723e-06,-1.3695700366231888e-05
2013-07-28 19:00:00,1.0282594340045515e-06,5.320611671503456e-06,-23.342336770827565,14.616885999033514,-48.91817689328859,3.0622584146260716,31.56618217155222,26.83028330702045,7.456360222834908,-11.271426850137159,0.0,-0.0,-7.375708271920217e-06,-1.387439340985866e-05
2013-07-28 20:00:00,1.0266347726398563e-06,5.319728819092151e-06,-23.860533444533772,14.195116120345547,-50.391733092607595,3.0671562709970175,31.53726089285552,29.282684965093505,7.441504800917571,-11.271426851702113,0.0,-0.0,-7.4061368207847534e-06,-1.3894165686281499e-05
2013-07-28 21:00:00,1.0258342738920709e-06,5.319372657873938e-06,-21.981307368240454,13.00400750646191,-52.59563952641093,3.0472845280164647,31.502621296220806,30.68963729276488,7.604852762489385,-11.271426859320494,0.0,-0.0,-7.4087222116413565e-06,-1.3856528496330587e-05
2013-07-28 22:00:00,1.0245762683875828e-06,5.31931238766418e-06,-21.791894256690956,8.901766222894855,-51.9268144058646,3.014856117020622,31.43844076512184,32.97836153322835,8.656740492391025,-11.271426866549996,0.0,-0.0,-7.415857798890841e-06,-1.3820621375603525e-05
2013-07-28 23:00:00,1.0244086389980774e-06,5.3210669678481755e-06,-20.74395812606201,7.313555833100879,-50.15159790814851,3.026711545823523,31.421902147122328,32.18858626281982,8.216256761529829,-11.27142686800742,0.0,-0.0,-7.415256285754068e-06,-1.3866451965012478e-05
2013-07-29 00:00:00,1.025100392892706e-06,5.324375818039572e-06,-13.555056910608002,1.1846228469724667,-50.28861532880126,2.9345125246297985,30.958645414669952,32.04478604305585,7.99256193504185,-11.271426868991895,0.0,-0.0,-7.412164323463984e-06,-1.3877614191004113e-05
2013-07-29 01:00:00,1.027777057350042e-06,5.334409611892747e-06,-12.446116418836882,0.7065337783972596,-49.74460007968084,2.910923624370217,29.81065556994566,32.41817956445966,7.6158804077024795,-11.271426813263119,0.0,-0.0,-7.404250239975277e-06,-1.3855709507923801e-05
2013-07-29 02:00:00,1.0298078983060842e-06,5.338595895184388e-06,-11.074185555764863,0.8396938177687145,-50.79885164105581,2.9779620595971443,30.399522519923053,32.04602151563716,6.881293753987933,-11.271426826084271,0.0,-0.0,-7.4130315476160295e-06,-1.386222563192244e-05
2013-07-29 03:00:00,1.0320399472297854e-06,5.340586789752364e-06,-11.81305527169902,3.564270324690477,-54.01238180071487,3.142518240955872,31.292228527151774,32.40374712527738,6.694129295431578,-11.271426858986313,0.0,-0.0,-7.402067503694453e-06,-1.3826616394321495e-05
2013-07-29 04:00:00,1.034697449711252e-06,5.342460583337338e-06,-18.653951617120633,12.204134639080198,-56.00872858372056,3.266691623361751,31.432503152540896,32.49867283955567,6.532134297627007,-11.271426899837833,0.0,-0.0,-7.368097438209112e-06,-1.3753833582637234e-05
2013-07-29 05:00:00,1.040553507813485e-06,5.345223603541523e-06,-21.810281137608197,13.134577633148078,-61.514718004204454,3.3132496434497822,31.455828064716822,32.42728868337629,6.446581402449389,-11.271427015250207,7.818934218924415,-4.454665997855045e-06,-7.2313621081576024e-06,-1.3502104275949746e-05
2013-07-29 06:00:00,1.0437178985204943e-06,5.342685182625317e-06,-22.26949605636,7.487994808976567,-66.3382305308419,3.243701493842171,31.218312874433085,32.11915021895599,6.394640547164259,-11.271427004559511,19.415402743354814,-2.0519697636753326e-05,-7.107272762290219e-06,-1.3180160885599386e-05
2013-07-29 07:00:00,1.0440609324002777e-06,5.325285634010452e-06,-8.595475362155007,1.5553147491963206,-53.68117849637075,3.105233470198492,3.7315719049046843,32.05276065312479,7.333564780531319,-11.271427070824906,25.769685550481967,-2.1306166402225643e-05,-7.289879872580153e-06,-1.32911073088918e-05
2013-07-29 08:00:00,1.0386227902557108e-06,5.155229689285515e-06,-20.32386694138446,-3.529460101893577,-39.19808008544913,3.002217807196552,5.526979602849955e-05,31.3132613944932,7.357917783668045,-11.271427262969585,32.64943994013746,-2.5577441139717003e-05,-8.19935883668884e-06,-1.4643935233059336e-05
2013-07-29 09:00:00,1.0432027862174373e-06,5.15513639711721e-06,-19.40686955027491,-16.037396334872064,-32.36192009748773,3.0683887971890655,5.4783353309627784e-05,31.164736430441724,7.812258099825604,-11.271427258459713,37.03223368639217,-2.6637464137348864e-05,-8.13941996191584e-06,-1.445232317637452e-05
2013-07-29 10:00:00,1.0446692370417615e-06,5.155085997213553e-06,-25.825792848766092,-16.04385083009012,-27.48531509985409,3.1247891593029564,5.426728418550911e-05,30.395828970625686,8.596979328614385,-11.271427265632841,38.5087934776302,-2.736622936869586e-05,-8.089039231199108e-06,-1.439495848546862e-05
2013-07-29 11:00:00,1.0458249412628387e-06,5.154795323830858e-06,-20.992837061752166,-16.06734044868457,-34.40232852963855,3.1678807582814694,5.4003871663164396e-05,30.13137494862416,9.676828366051426,-11.271427271454193,39.757854955089044,-2.794463945420127e-05,-8.151975010536611e-06,-1.4330519764631203e-05
