,CCGT,CHP,DAC,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-02-06 02:00:00,1.4358943565243839e-06,1.1179825161058334,-1.3333493107517682e-06,1.8744472789963702,6.572991159902783e-07,0.19792690696966805,-21.4444156036136,0.07173859279821228,7.0426867014794015,12.217971580493261,-1.0707281653373544,0.0,-0.0,-2.1512248476938113e-06,-2.8559944001762556e-06
2013-02-06 03:00:00,1.4409825001583872e-06,1.1179825389619984,-1.3325198826593794e-06,2.143164726193423,6.588118418808083e-07,0.14982837512079356,-21.444415810723072,0.07173833377880937,7.08360872073847,11.956430859993501,-1.0707279833185963,0.0,-0.0,-2.144475410659652e-06,-2.839369943972228e-06
2013-02-06 04:00:00,1.4393418731177265e-06,1.1179825316676704,-1.3386328408199468e-06,3.096311896938163,6.584336296130588e-07,0.6872848211108982,-21.44441637389849,0.07173733861666408,7.084008524207972,10.465429224899681,-1.0707281114108989,0.0,-0.0,-2.1762988233149373e-06,-2.8505307886868767e-06
2013-02-06 05:00:00,1.4410334254468131e-06,1.1179825325538344,-1.3619145572177256e-06,2.6093712242095304,6.591214892686001e-07,4.190619875513868,-21.444416455888565,0.07173667677433757,7.084008339946444,7.449035880790386,-1.0707281077747244,0.0,-0.0,-2.2419526261501232e-06,-2.856228440171483e-06
2013-02-06 06:00:00,1.4417857877853388e-06,1.11798253114192,-1.382696651670485e-06,2.609347408481328,6.595948211611274e-07,5.598971965409898,-21.444416506920884,0.07173603944976416,7.084009161254285,6.0407074819542315,-1.0707280589275363,0.0,-0.0,-2.2951147512344503e-06,-2.856893994124688e-06
2013-02-06 07:00:00,1.439601120009726e-06,1.1179825205368707,-1.396817925735623e-06,2.6093486602826275,6.592698970461531e-07,5.543548365108485,-21.44441651545615,0.0717353573030244,7.08400942134229,6.09613031377341,-1.0707280455905575,0.0,-0.0,-2.298572176187008e-06,-2.862585282318218e-06
2013-02-06 08:00:00,1.4274506008728681e-06,1.1179824870035224,-1.3550377621791281e-06,3.1893784464610295,6.559110135185512e-07,3.4887482930686993,-21.444416482274995,0.07173437179058213,7.084009451435926,6.984019067044328,-1.070728198618488,0.5868875990532723,-4.9642424461267185e-06,-2.2813185427139613e-06,-2.8815263756905194e-06
2013-02-06 09:00:00,1.4193818384448688e-06,1.1179824302352732,-1.3809514468898e-06,3.1893794450732513,6.536987621102706e-07,1.059161195809811,-21.444416185953006,0.07173303821223116,7.084009451435927,9.09578369426193,-1.0707284045257779,0.9047101719681363,-4.736650870510219e-06,-2.2430114466374107e-06,-2.8901866550578632e-06
2013-02-06 10:00:00,1.3929816942710604e-06,1.1179823068914767,-1.2188921376654853e-06,3.108315858949643,6.4615830318742e-07,-1.5253137700465857,-20.84143304532883,0.07171478415752865,7.084009334642153,10.28716927563392,-1.0707291499316383,1.7759004925728974,-5.689304382867225e-06,-2.287502920808038e-06,-2.9852446646707244e-06
2013-02-06 11:00:00,1.3924987519068596e-06,1.117982336896081,-1.4041070010052397e-06,3.0444295510398236,6.464456443903639e-07,-12.983671144147598,-12.123918567091307,0.07171291976495545,7.084008998725897,12.060522626063342,-1.070729101400136,2.8072790932242806,-6.23992837142603e-06,-2.2450802921412105e-06,-2.9682133801101385e-06
2013-02-06 12:00:00,1.3884069665004611e-06,1.1179823180007975,-1.4300356681681143e-06,2.12948984167228,6.451967462047258e-07,-15.876967401957165,-9.890450710377438,0.07170624410825585,7.081300407064051,13.339101586462526,-1.0707291740687712,3.106183802215848,-6.359353860725843e-06,-2.245080850912018e-06,-2.9928310586303587e-06
2013-02-06 13:00:00,1.391271784809607e-06,1.1179823367064832,-1.340582776016691e-06,-0.09832356864024405,6.457599070443582e-07,-9.102404193539412,-13.713876284405025,0.07170284941731972,6.99562156551204,13.148952994288333,-1.0707290819993067,2.658689955423455,-6.079153816790742e-06,-2.2491105077051544e-06,-3.011513351472002e-06
2013-02-06 14:00:00,1.393497669654446e-06,1.1179823077899835,-1.2611325587468137e-06,2.6091792952823427,6.457704236340192e-07,-3.669132087805104,-19.784967540207603,0.07168673671679443,6.297703146730488,12.467838819371185,-1.070728954660951,1.9680543452506265,-5.589441162897771e-06,-2.2683763385202837e-06,-3.0604753613359308e-06
