,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-19 00:00:00,5.3765713064451E-06,0.385983610115052,-0.599998202039539,3.781865063649E-06,5.52922248253845,2.00547161218632E-06,-2.21753878793997E-05,-19.063663335777,0.0717574778162932,0.0785412273119341,7.07364284559132,6.54735321453445,-0.022811478000894,0,0,-5.34539518537258E-06,-5.58192934602175E-06,4.92680798053618E-06
2013-01-19 01:00:00,5.37143490241587E-06,0.38598355294384,-0.599998200888542,3.77889326900587E-06,5.18213758430705,2.0033819498624E-06,0.000142430656003382,-18.6467635870797,0.0717664564390413,0.0785412309891198,7.07728395186743,6.4737237043345,-0.0228114806968838,0,0,-5.34712144553851E-06,-5.58820798789839E-06,4.96388223567527E-06
2013-01-19 02:00:00,4.71710012985862E-06,0.385900892437014,-0.599998563058988,3.29529480272413E-06,5.29558907112927,1.844359946304E-06,-1.58806316189946E-05,-19.2160574642432,0.0717398721184638,0.0785404944161062,7.08050168197863,6.9266286830512,-0.0228187875568537,0,0,-6.52078315323479E-06,-6.7914779513103E-06,6.04538171336933E-06
2013-01-19 03:00:00,4.37643196197236E-06,0.381676683611251,-0.599998732291523,3.04264386961375E-06,7.6573194072239,1.75906325940505E-06,-1.27213756911003,-20.2800964803444,-0.345453280791527,0.0785398155537779,7.08153964832792,7.32145719304491,-0.0228289303236216,0,0,-7.47814535924363E-06,-7.76126600987936E-06,6.8578472926634E-06
2013-01-19 04:00:00,4.38064478222072E-06,0.381687909530275,-0.599998683414727,3.02500919115648E-06,8.07748992266578,1.75972066837979E-06,-0.647999234355718,-21.3564814528444,-0.177628189477825,0.0785398272089296,7.07862140854488,7.18861056821004,-0.0228282557905835,0,0,-7.439456821146E-06,-7.72989438848981E-06,6.32978462376462E-06
2013-01-19 05:00:00,4.37927535165824E-06,0.385930948401786,-0.599998395664574,3.02292206887204E-06,7.97195806077052,1.75835923331012E-06,-0.349067908727789,-21.356510672645,-0.10750334600986,0.0785398313246951,7.05972357578477,6.93977137804041,-0.0228282325678112,0,0,-7.42128517322271E-06,-7.72698340927036E-06,4.8643162440144E-06
2013-01-19 06:00:00,4.37602936843127E-06,0.385931077869081,-0.599998395397017,3.02031837152136E-06,8.09526987637721,1.7563379407152E-06,-0.535060081471996,-21.3565112341654,-0.122804046867484,0.0785398325258313,7.05632877666356,7.02114772735988,-0.0228282574607272,0,0,-7.43369419853934E-06,-7.73573246453907E-06,4.81245722487668E-06
2013-01-19 07:00:00,4.37137225378111E-06,0.385931187786317,-0.599998395087949,3.01776494982092E-06,8.17385375050556,1.75387796892688E-06,-0.711068616631231,-21.3565112267889,-0.127045395656269,0.0785398339398558,7.08234809910299,7.09679443865032,-0.0228283612080104,0,0,-7.45202631588882E-06,-7.75557799829585E-06,4.78937519046311E-06
2013-01-19 08:00:00,4.38744243855516E-06,0.381676362244475,-0.599998735246092,3.05271953029405E-06,8.23349549020035,1.76212333637057E-06,-2.11308337681613,-20.6293585556767,-0.144170848406671,0.078539755883529,7.08256150716197,7.02719832562926,-0.0228289083459556,0.70600123449892,-1.45150242314264E-05,-7.44952009750932E-06,-7.78108798090216E-06,6.89115610560074E-06
2013-01-19 09:00:00,4.39597152658266E-06,0.381676108741454,-0.59999873704573,3.06012754867041E-06,8.22816036076113,1.76514211499287E-06,-3.79202925328932,-18.5252982430866,-0.143570102549212,0.0785397529721659,7.08006757285929,6.05123510204212,-0.0228290081126175,1.26407881421966,-1.49767027025727E-05,-7.38234788906311E-06,-7.80040537972582E-06,7.16449844850386E-06
2013-01-19 10:00:00,4.39603698644276E-06,0.381676094517075,-0.599998730717321,3.05995158352922E-06,8.03533423946274,1.7636441460657E-06,-3.03396532789001,-18.0693915063801,-0.129390856219697,0.0785397662124719,7.07716095731417,4.82684138940185,-0.0228289227275505,1.45606116208279,-2.11376078628122E-05,-7.24865868571101E-06,-7.79996959374785E-06,7.28402862763112E-06
2013-01-19 11:00:00,4.39165150021249E-06,0.38167616324656,-0.599998722831901,3.05738683830557E-06,7.83543663712949,1.76175851313713E-06,-1.3035035364191,-18.6737903400553,-0.108264445516408,0.0785397720818849,7.06763598362585,3.96962748907925,-0.0228290662493532,1.37551516013861,-2.80976294317493E-05,-7.13532540854089E-06,-7.80941157165671E-06,7.32845879341323E-06
2013-01-19 12:00:00,4.3877295025084E-06,0.381676204120178,-0.599998720951561,3.05418050536702E-06,8.00982289676773,1.76005589814715E-06,-0.751586887467429,-19.8950802422463,-0.0883915653045408,0.0785397809174682,7.08082356010549,4.6667655428966,-0.0228291360635775,1.14030446408396,-2.87525366841338E-05,-7.23632833270926E-06,-7.81303361668506E-06,7.29749603074101E-06
2013-01-19 13:00:00,4.45113696639198E-06,0.381682578786293,-0.599998688832785,3.08069397246502E-06,8.14302154290009,1.77715419414395E-06,0.000162012080244797,-21.0243975634828,0.071704834551573,0.0785399378512541,7.08152748968344,4.98579918086741,-0.0228259446809026,0.904823639577171,-2.6796880018615E-05,-7.05561277385414E-06,-7.5616170952344E-06,6.98067786470722E-06
2013-01-19 14:00:00,4.45483059897856E-06,0.38594522369794,-0.599998360866168,3.08023448796444E-06,8.30102516744917,1.77787616118992E-06,0.000315257590738029,-21.3565104230775,0.0717106574511571,0.0785399563550692,7.08365425074797,5.46041116772275,-0.0228255849382642,0.597771404646844,-2.48592097142819E-05,-7.10026366331817E-06,-7.52592706407995E-06,5.12389044376319E-06
2013-01-19 15:00:00,4.37004436780501E-06,0.385932561828937,-0.599998386558787,3.01254350446562E-06,13.8410396844403,1.75249289995567E-06,-5.44076454269296,-21.3565103664629,-0.111319853787193,0.0785397751045207,7.08361947521298,5.69726912564387,-0.0228286230890326,0.445055885231418,-1.96798835633985E-05,-7.37513208775909E-06,-7.79216978787645E-06,5.03893199790437E-06
2013-01-19 16:00:00,4.35843188485348E-06,0.385932446084321,-0.599998391392696,3.00043728722904E-06,12.2593085103214,1.74750245814428E-06,-4.10031604410951,-21.3565131394776,-0.102494241065535,0.0785397731546089,7.08301634828194,6.37536902958683,-0.0228284933807509,0,0,-7.42869143795133E-06,-7.7895532842831E-06,4.38647707000995E-06
