,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,oil,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-02-25 16:00:00,11.7490653000056,15.6783496872162,3.62870871150231E-06,13.843409510668,1.30022486773209E-05,0.000462814317876168,3.6685563138493E-06,-104.272974178271,2.99238719914011,30.2578069893761,2.32544343720544E-06,29.0248484891694,-2.47238225827095E-05,0.726644647315321,-1.00052371566686E-05,-9.61642680289639E-06,-1.06767253235898E-05,8.0286759330102E-06
2013-02-25 17:00:00,12.0730580317416,16.2225957669277,3.62395668112209E-06,14.3231112860953,1.30043486718921E-05,0.00017687137109611,3.6649792714364E-06,-106.098213827471,2.99238273520649,30.1695027970729,2.32353008195763E-06,30.3173767908808,-2.47245813449996E-05,0,0,-9.64071634634213E-06,-1.06837965742251E-05,8.02554740302657E-06
2013-02-25 18:00:00,9.08207136896012,16.4364274527262,3.63305314619227E-06,14.5029799812649,1.30363463130853E-05,0.000126219871965465,3.66808301653809E-06,-102.193236671518,2.99238014441213,29.9185831520176,2.32499054569838E-06,29.2606586664985,-2.47197803460414E-05,0,0,-9.60109536661471E-06,-1.06584346843894E-05,8.0270396085883E-06
2013-02-25 19:00:00,6.1062418253005,15.9774663900192,3.64121329836703E-06,14.2126493944008,1.30585416403654E-05,9.26091583613269E-05,3.67073735440925E-06,-95.6097927524966,2.99237809699613,29.6430166515955,2.3262791420115E-06,26.67793796504,-2.47256122445542E-05,0,0,-9.52983320385803E-06,-1.0636632359845E-05,8.0294439178022E-06
2013-02-25 20:00:00,7.25029704919934,14.143025436889,3.64240242356452E-06,13.9369916863372,1.30613310286247E-05,6.17015507684468E-05,3.6694581577765E-06,-90.5514681346,2.99237623631643,29.0717694968893,2.32586772220424E-06,23.1569365905791,-2.47423705581134E-05,0,0,-9.43831276199804E-06,-1.06027966799623E-05,8.02956059623649E-06
2013-02-25 21:00:00,10.1092007171006,11.2896313831662,3.63987188958273E-06,14.0831261968658,1.30508407550051E-05,3.01443009633858E-05,3.66492996822811E-06,-87.4356222960522,2.99237447835962,28.3414599418167,2.32433762972148E-06,20.6197894272792,-2.47613718255708E-05,0,0,-9.36988827567217E-06,-1.05610170551985E-05,8.02968767142706E-06
2013-02-25 22:00:00,10.3941659406747,8.42551834416236,3.63932633450813E-06,14.228867476249,1.30450952212472E-05,5.26221840192069E-06,3.66198790012217E-06,-83.6594909163821,2.99237294093672,28.279630312796,2.32372145765296E-06,19.3389206357285,-2.47758701259779E-05,0,0,-9.33897280574504E-06,-1.05686018000535E-05,8.03246680706934E-06
2013-02-25 23:00:00,11.1413982866414,7.2649692576362,3.63314938277994E-06,13.6131667853069,1.30301587157518E-05,-1.74566233174531E-05,3.65931500760429E-06,-80.5764901478895,2.99237151766539,27.5986980455347,2.32276384330501E-06,17.9658936742458,-2.47955437975024E-05,0,0,-9.30018823072466E-06,-1.05314104362072E-05,8.03885196121926E-06
2013-02-26 00:00:00,11.0571982826,7.25751949735364,3.61691880229676E-06,13.2003843147459,1.2999105061084E-05,-4.09649211871329E-05,3.65636394509851E-06,-78.4431570480955,2.99237014792534,26.9192583017595,2.32126323093453E-06,17.0164573716099,-2.48281428846748E-05,0,0,-9.27712307154322E-06,-1.04027867316375E-05,8.04676899091241E-06
2013-02-26 01:00:00,10.9895355050927,7.47218284019177,3.61242272454783E-06,13.0538034409606,1.29903331715847E-05,-6.45151780255695E-05,3.65486761959439E-06,-77.0277050317981,2.99236879347819,26.2462718383505,2.32092595923601E-06,16.2735969992395,-2.48358647511014E-05,0,0,-9.24732713769995E-06,-1.03715317961885E-05,8.05205968399732E-06
2013-02-26 02:00:00,12.016009156168,8.55954676437397,3.6014189027871E-06,13.2038890160221,1.29655818326935E-05,-0.000104105140896564,3.65066126511715E-06,-76.7239044321381,2.99236728679201,24.8300026590823,2.31928853236816E-06,15.1221834536542,-2.48448943379669E-05,0,0,-9.19802619356475E-06,-1.0282619787352E-05,8.05243416304204E-06
2013-02-26 03:00:00,11.250279033817,11.9281263754229,3.58960882333604E-06,13.5489451233367,1.29511544376896E-05,-0.00014959511286382,3.65004904662792E-06,-77.0322565870369,2.99236584766425,23.5653114748413,2.31903586100361E-06,13.7473680075642,-2.48511204102568E-05,0,0,-9.12439854476404E-06,-1.01889274821773E-05,8.04708553818364E-06
2013-02-26 04:00:00,10.6926747610493,17.3695145778932,3.57443909768418E-06,13.7868300611943,1.29255157842352E-05,-0.000275886299428648,3.64693657293294E-06,-79.6020907155122,2.99236419070762,22.1513971108295,2.31791139300376E-06,12.6095753035168,-2.48556128330808E-05,0,0,-9.05323077206679E-06,-1.00929241841403E-05,8.03207431982933E-06
2013-02-26 05:00:00,13.2602361456184,17.3695263685152,3.73966980746016E-06,15.7522004008362,1.43230765837428E-05,6.36743767273057,3.74709877827621E-06,-88.1726689634859,2.99236985777383,20.1578989893343,2.38699290016047E-06,12.2729855922768,-2.42904688219904E-05,0,0,-8.69616721635394E-06,-9.63854430841985E-06,7.70477415606049E-06
