20:00 - 21:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,212,0,48,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,1,
21:00 - 22:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,207,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
22:00 - 23:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,18,0,57,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
23:00 - 00:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,57,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
00:00 - 01:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,63,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
01:00 - 02:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
02:00 - 03:00,56,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
03:00 - 04:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,19,,n/e,n/e,0,
04:00 - 05:00,55,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,19,,n/e,n/e,0,
05:00 - 06:00,56,,n/e,n/e,n/e,n/e,46,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,19,,n/e,n/e,0,
