14:00 - 15:00,38,,104,,n/e,n/e,183,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,6,407,,0,,n/e,n/e,1969,,146,,42,,68,,n/e,n/e,n/e,n/e,0,
15:00 - 16:00,38,,104,,n/e,n/e,176,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,2,404,,15,,n/e,n/e,1972,,144,,43,,37,,n/e,n/e,n/e,n/e,0,
16:00 - 17:00,38,,104,,n/e,n/e,184,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,2,470,,25,,n/e,n/e,1966,,146,,44,,8,,n/e,n/e,n/e,n/e,1,
17:00 - 18:00,38,,105,,n/e,n/e,196,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,103,,537,,55,,n/e,n/e,1966,,147,,44,,0,,n/e,n/e,n/e,n/e,1,
18:00 - 19:00,37,,104,,n/e,n/e,192,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,199,,551,,103,,n/e,n/e,1967,,148,,44,,0,,n/e,n/e,n/e,n/e,1,
19:00 - 20:00,38,,104,,n/e,n/e,191,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,195,,548,,102,,n/e,n/e,1966,,148,,44,,0,,n/e,n/e,n/e,n/e,1,
20:00 - 21:00,38,,104,,n/e,n/e,191,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,177,,513,,69,,n/e,n/e,1966,,148,,44,,0,,n/e,n/e,n/e,n/e,1,
21:00 - 22:00,38,,104,,n/e,n/e,186,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,2,,479,,35,,n/e,n/e,1968,,145,,44,,0,,n/e,n/e,n/e,n/e,1,
22:00 - 23:00,38,,104,,n/e,n/e,187,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,0,,476,,4,,n/e,n/e,1967,,146,,43,,0,,n/e,n/e,n/e,n/e,1,
23:00 - 00:00,39,,104,,n/e,n/e,186,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,3,462,,0,,n/e,n/e,1967,,146,,43,,0,,n/e,n/e,n/e,n/e,2,
00:00 - 01:00,39,,104,,n/e,n/e,181,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,7,326,,2,,n/e,n/e,1969,,143,,43,,0,,n/e,n/e,n/e,n/e,2,
01:00 - 02:00,39,,104,,n/e,n/e,176,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,204,236,,2,,n/e,n/e,1974,,141,,43,,0,,n/e,n/e,n/e,n/e,2,
02:00 - 03:00,39,,104,,n/e,n/e,176,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,255,242,,2,,n/e,n/e,1973,,140,,43,,0,,n/e,n/e,n/e,n/e,2,
03:00 - 04:00,40,,103,,n/e,n/e,183,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,255,243,,2,,n/e,n/e,1970,,142,,43,,0,,n/e,n/e,n/e,n/e,2,
04:00 - 05:00,40,,103,,n/e,n/e,180,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,210,241,,2,,n/e,n/e,1973,,140,,43,,0,,n/e,n/e,n/e,n/e,2,
05:00 - 06:00,40,,103,,n/e,n/e,175,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,205,235,,2,,n/e,n/e,1978,,140,,44,,0,,n/e,n/e,n/e,n/e,2,
06:00 - 07:00,38,,104,,n/e,n/e,181,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,6,234,,2,,n/e,n/e,1978,,140,,44,,0,,n/e,n/e,n/e,n/e,2,
07:00 - 08:00,39,,105,,n/e,n/e,183,,0,,48,,n/e,n/e,n/e,n/e,n/e,n/e,,20,236,,2,,n/e,n/e,1982,,138,,44,,0,,n/e,n/e,n/e,n/e,2,
08:00 - 09:00,38,,105,,n/e,n/e,185,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,23,320,,16,,n/e,n/e,1983,,139,,46,,0,,n/e,n/e,n/e,n/e,2,
09:00 - 10:00,38,,106,,n/e,n/e,192,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,0,,391,,16,,n/e,n/e,1984,,138,,45,,7,,n/e,n/e,n/e,n/e,2,
10:00 - 11:00,40,,104,,n/e,n/e,201,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,0,,438,,61,,n/e,n/e,1977,,141,,44,,22,,n/e,n/e,n/e,n/e,1,
11:00 - 12:00,41,,105,,n/e,n/e,199,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,0,,437,,47,,n/e,n/e,1972,,141,,44,,32,,n/e,n/e,n/e,n/e,1,
