Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company,Clustered
nan,TREA Breisgau,13.6,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,EEW Energy from Waste Saarbrücken GmbH
nan,EEW Göppingen,11.0,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,EEW Energy from Waste Göppingen GmbH
nan,MVA Hamm,14.6,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MHB Hamm Betriebsführungsgesellschaft mbH
nan,RZR Herten I,15.5,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AGR Abfallentsorgungsgesellschaft Ruhrgebiet mbH
nan,RZR Herten II,11.7,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AGR Abfallentsorgungsgesellschaft Ruhrgebiet mbH
nan,MVA Ingolstadt,25.5,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Zweckverband Müllverwertungsanlage Ingolstadt (MVA Ingolstadt)
nan,Abfallentsorgungszentrum Asdonkshof,16.0,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Kreis Weseler Abfallgesellschaft mbH & Co. KG (KWA)
nan,Müllheizkraftwerk,44.7,2.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Müllheizkraftwerk Kassel GmbH
nan,RMVA Köln,45.1,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AVG Köln mbH
nan,MKVA Krefeld,33.1,5.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG
nan,Thermische Abfallbehandlung Lauta GmbH & Co. oHG,15.7,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Steag GmbH
nan,FHKW Ludwigshafen,28.0,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Technische Werke Ludwigshafen AG
nan,SITA Abfallverwertung GmbH ,23.0,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SUEZ Energie und Verwertung GmbH
nan,MHKW Mainz,15.6,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Entsorgungsgesellschaft Mainz mbH
nan,Müllheizkraftwerk Offenbach,14.5,1.0,DE,nan,nan,STUR,WHT,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Energieversorgung Offenbach AG
