electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,region,district,URE_id,as_of_year
0.03,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2275,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2274,2019
0.6,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2273,2019
0.476,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2269,2019
6.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,bielski,1912,2019
0.022,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2265,2019
0.006,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2266,2019
0.1,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2267,2019
0.18,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2268,2019
1.0,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2272,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2271,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2270,2019
0.03,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Śląskie,bieruńsko-lędziński,2373,2019
0.038,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Śląskie,bieruńsko-lędziński,2377,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Śląskie,bieruńsko-lędziński,2376,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Śląskie,bieruńsko-lędziński,2375,2019
0.009,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Śląskie,bieruńsko-lędziński,2372,2019
0.01,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Śląskie,bieruńsko-lędziński,2374,2019
1.4,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL82,PL821,Podkarpackie,bieszczadzki,1775,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,787,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,791,2019
0.012,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,683,2019
0.024,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,684,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,790,2019
0.039,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,682,2019
0.436,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,678,2019
0.408,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,679,2019
0.365,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,657,2019
0.03,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,655,2019
0.417,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,658,2019
0.032,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,680,2019
