electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,region,district,URE_id,as_of_year
5.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL516,Dolnośląskie,górowski,82,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL516,Dolnośląskie,górowski,83,2019
0.445,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL5,PL51,PL516,Dolnośląskie,głogowski,78,2019
0.99,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL516,Dolnośląskie,głogowski,76,2019
0.1,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL516,Dolnośląskie,głogowski,77,2019
0.41,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL5,PL51,PL516,Dolnośląskie,głogowski,79,2019
0.063,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL52,PL523,Opolskie,głubczycki,1665,2019
0.024,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL52,PL523,Opolskie,głubczycki,1662,2019
0.05,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL52,PL523,Opolskie,głubczycki,1690,2019
5.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL52,PL523,Opolskie,głubczycki,1689,2019
30.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL52,PL523,Opolskie,głubczycki,1688,2019
0.998,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1928,2019
0.999,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1923,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1924,2019
0.407,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1985,2019
0.539,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1925,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1926,2019
0.167,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1885,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,hajnowski,1927,2019
0.039,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,hrubieszowski,690,2019
0.982,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,hrubieszowski,779,2019
0.01,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,hrubieszowski,691,2019
1.575,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,266,2019
1.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,274,2019
0.45,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,262,2019
0.875,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,272,2019
0.32,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,362,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,317,2019
0.52,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,635,2019
0.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,479,2019
5.95,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,471,2019
0.034,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,469,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,480,2019
2.126,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,472,2019
0.96,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,483,2019
0.45,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,482,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,473,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,474,2019
1.32,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,481,2019
0.66,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,475,2019
1.2,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,476,2019
1.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,477,2019
0.85,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,478,2019
1.2,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,467,2019
0.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,470,2019
0.9,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,321,2019
1.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,285,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,308,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,307,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,304,2019
1.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,322,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,303,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,302,2019
0.45,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,284,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,300,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,468,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,298,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,299,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,293,2019
4.2,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,287,2019
0.9,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL617,Kujawsko-pomorskie,inowrocławski,290,2019
0.996,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2822,2019
13.2,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2713,2019
41.19,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2703,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2814,2019
0.01,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2712,2019
1.2,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2702,2019
0.696,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2644,2019
0.099,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2705,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2704,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2651,2019
0.076,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2634,2019
12.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2710,2019
0.999,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2709,2019
40.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2655,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2654,2019
6.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2706,2019
0.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2707,2019
4.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2708,2019
1.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,iławski,2711,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL815,Lubelskie,janowski,692,2019
3.3,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2926,2019
0.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2925,2019
1.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2924,2019
0.998,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2929,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2930,2019
1.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2923,2019
1.8,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2922,2019
0.09,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2931,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2932,2019
0.776,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2933,2019
0.99,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2928,2019
2.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2921,2019
0.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,jarociński,2927,2019
0.129,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1755,2019
0.998,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1869,2019
0.145,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1754,2019
0.055,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1783,2019
0.801,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1785,2019
0.3,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1784,2019
0.06,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL822,Podkarpackie,jarosławski,1782,2019
0.45,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL821,Podkarpackie,jasielski,1761,2019
0.045,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL821,Podkarpackie,jasielski,1760,2019
0.208,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL82,PL821,Podkarpackie,jasielski,1788,2019
0.01,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL821,Podkarpackie,jasielski,1787,2019
0.45,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL82,PL821,Podkarpackie,jasielski,1786,2019
0.16,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jaworski,29,2019
0.132,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jaworski,87,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jaworski,88,2019
0.388,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,65,2019
0.132,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,96,2019
0.14,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,58,2019
0.16,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,94,2019
0.1,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,95,2019
0.32,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,99,2019
0.325,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,93,2019
0.1,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,98,2019
0.3,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,227,2019
0.063,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,97,2019
0.15,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,59,2019
0.25,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,18,2019
0.235,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,92,2019
0.25,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,48,2019
4.445,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,5,2019
3.549,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,6,2019
0.8,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,11,2019
0.2,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,89,2019
0.292,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,15,2019
0.045,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,43,2019
0.32,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,16,2019
0.32,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,91,2019
0.21,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,90,2019
0.1,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,jeleniogórski,17,2019
0.026,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,jędrzejowski,2533,2019
0.02,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,jędrzejowski,2518,2019
0.997,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,jędrzejowski,2534,2019
0.66,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,jędrzejowski,2532,2019
0.66,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2940,2019
0.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2939,2019
0.85,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2938,2019
0.85,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2942,2019
0.009,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2943,2019
1.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2935,2019
0.3,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2941,2019
1.6,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2946,2019
0.25,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2945,2019
0.01,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2937,2019
0.075,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2947,2019
1.2,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2869,2019
0.75,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2847,2019
0.85,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2934,2019
3.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2944,2019
0.85,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL41,PL416,Wielkopolskie,kaliski,2936,2019
0.09,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,kamiennogórski,28,2019
0.1,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,kamiennogórski,100,2019
0.15,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,kamiennogórski,60,2019
30.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL428,Zachodniopomorskie,kamieński,3315,2019
34.24,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL428,Zachodniopomorskie,kamieński,3316,2019
30.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL428,Zachodniopomorskie,kamieński,3317,2019
0.022,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,1998,2019
0.022,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2006,2019
0.075,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2085,2019
0.08,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2086,2019
0.448,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2087,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2088,2019
0.03,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2089,2019
0.15,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,1997,2019
0.996,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL63,PL634,Pomorskie,kartuski,2208,2019
0.03,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Świętokrzyskie,kazimierski,2537,2019
0.33,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Świętokrzyskie,kazimierski,2538,2019
0.03,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Świętokrzyskie,kazimierski,2514,2019
0.03,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Świętokrzyskie,kazimierski,2535,2019
0.035,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Świętokrzyskie,kazimierski,2536,2019
0.019,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL721,Świętokrzyskie,kazimierski,2499,2019
0.037,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2541,2019
0.123,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2552,2019
0.7,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2553,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2556,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2560,2019
0.12,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2496,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2545,2019
0.038,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2559,2019
0.038,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2544,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2554,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL72,PL722,Świętokrzyskie,kielecki,2558,2019
