,CCGT,CHP,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,oil,onshore wind,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-05-09 11:00:00,2.21529887755917E-05,2.26963586270726E-05,-3.4590026907793,1.20225504886244E-06,-1.95909999215224,-35.0143244880714,1.63433609356153,9.1426342920229,18.9835711146457,1.62878930844804E-06,4.34379229584837,6.32879343498698,-0.000235244292297774,-0.000263047900756331,-0.000122585198455738,0.000136155889717253
2013-05-09 12:00:00,2.21524462710648E-05,2.269930716958E-05,-3.50117987537558,1.20235944290375E-06,-1.96005998941776,-35.4201326427855,1.6343361297531,9.11265592368395,19.0753337837636,1.62893894419526E-06,5.27358138223942,5.78615300037691,-0.000235930622646986,-0.000251300690473135,-0.000122190635289712,0.000137177742839324
2013-05-09 13:00:00,2.21206484079949E-05,2.257538312048E-05,-10.7696184007598,1.20814540445038E-06,-1.36715621824954,-37.4665603543144,1.63433563607406,17.975875452101,19.2229396522035,1.6267422705117E-06,5.89283495704015,4.87803588348768,-0.000239966018842698,-0.000247744776154547,-0.000122758842576957,0.000140245174763212
2013-05-09 14:00:00,2.21278937447124E-05,2.2424062697094E-05,-8.92293546532727,1.22315618725244E-06,-0.00196015666120476,-40.4530506821641,1.63433628211805,18.6435581327215,18.9694803826797,1.62640888696788E-06,6.13023915256762,4.00100921344682,-0.000236563460656183,-0.000239838570170402,-0.000119216426824437,0.000138531230526608
2013-05-09 15:00:00,3.0090044864537E-05,0.000171878736014556,-4.80873603346795,1.55840836217669E-06,0.000117975265160668,-43.8687322339837,1.63453708966424,18.6516419482327,18.8412092422017,1.84080561806534E-06,6.49598065359962,3.05400947046912,-6.00400605832225E-05,-5.23427006468189E-05,-2.50591087291241E-05,3.04343772542724E-05
2013-05-09 16:00:00,3.05658768724011E-05,0.000347367172905584,-5.27508381508853,1.59116173984827E-06,-0.000129382329031429,-47.2260887822344,5.37225940565624,18.6516440948961,19.6863743813227,1.8587583955683E-06,6.75016220640332,2.04070850927806,-5.85258419526137E-05,-5.04389855823029E-05,-2.4023971862789E-05,2.90859877830381E-05
2013-05-09 17:00:00,3.45999442764053E-05,0.993975937444153,-3.50763863415705,1.69630836527441E-06,0.000153076103842347,-50.3932560204418,6.87075804172538,18.6516599030931,20.0670030096961,1.92309470292114E-06,6.28823901157911,1.02925929726122,-4.82711325155632E-05,-3.95530126297895E-05,-1.85365028960405E-05,2.21245250862041E-05
2013-05-09 18:00:00,3.58149238263744E-05,0.984482705882689,-9.39775906317274,1.79640233377995E-06,0.256571039223267,-47.964797376405,10.6702522818824,18.6516622774546,20.8596004406973,1.9484657420901E-06,5.94008657093324,0,0,-3.81970598838817E-05,-1.72355710585066E-05,2.07676690089778E-05
2013-05-09 19:00:00,3.57973975592528E-05,0.945097568482419,-12.9620266687409,1.81783869022491E-06,0.442759756037086,-45.9780326116091,11.9173205432343,18.6516619998926,21.2389803739547,1.95407257961576E-06,5.7443388141246,0,0,-3.85619427705486E-05,-1.72430680002549E-05,2.06321305515183E-05
2013-05-09 20:00:00,3.5711082699846E-05,0.882641210414666,-12.9990596810725,1.82624128425186E-06,1.50027574178257,-46.7014953005689,11.9942242881013,18.6516617141259,20.802978800799,1.9547263473759E-06,5.86887362801656,0,0,-3.8595901290308E-05,-1.72504945456922E-05,2.04922111585556E-05
