Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,TAYL-G,144,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INDQ,140,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAARW,140,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLLA,134,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HADHW,130,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLDSW,128,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HRSTW,126,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARCHW,120,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEINW,109,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHLAW,108,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LITT-G,105,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIDCGT,100,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLNDO,100,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COWE,100,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FDUNT,99,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABRBO,99,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CABEU,98,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRAXXG,96,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RHYFW,90,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RRWW,90,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RREW,90,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOWLW,90,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BURBW,90,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CACON,87,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUNGW,84,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAMOR,78,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CACLU,77,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MDHLW,76,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ERRO,75,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASN,75,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRDUW,74,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAUHW,70,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GORDW,70,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LCLTW,69,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CGTHW,69,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRSLW,69,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLLX,69,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STRNW,68,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KILBW,67,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRYBW,66,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MILWW,65,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AKGLB,63,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRYRW,63,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHOYW,60,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAKIL,60,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAI-G,58,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLWSW,56,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MKHLW,56,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLKWW,53,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BABAW,52,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HBHDW,52,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIDMW,51,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RANN,51,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAIRW,51,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABTHGT,51,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUGGT,50,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HLTWW,48,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAUSW,48,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRMLW,47,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRGHW,46,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLAC,44,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTUIW,43,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACHRW,43,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDINW,42,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAIRB,42,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TUMB,40,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WBUGT,40,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAGAR,39,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EWHLW,39,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINSW,38,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLDRW,37,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABRTW,36,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EARBW,35,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASHWW,35,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRUB,34,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FERR-G,34,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FIDL-G,34,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RATSGT,34,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SANQW,33,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFLDW,32,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNAPW,32,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRDGW,32,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BETHW,30,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEADGT,30,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DALSW,30,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HYWDW,30,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HLGLW,28,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNAKW,28,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KNLCV,28,1.0,UK,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LCSMH,28,1.0,UK,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TDBNW,28,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WHIHW,27,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLOFW,26,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INAW,25,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TULWB,25,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHIN,24,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RSHLW,24,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FSDLW,22,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNWKW,22,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOYNW,22,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COUWW,21,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SFIL,20,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANSUW,19,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FINL,17,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOVAW,17,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TULWW,17,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LBAR-G,17,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEUCW,16,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NANT,15,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLFLW,15,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TLYMW,15,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDSTW,13,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TANGW,13,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASS,11,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SANDW,8,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
