index,SI -> AT,SI -> IT,SI -> HU,SI -> HR
2022-01-01 10:00:00+0000,38.0,646.0,,0.0
2022-01-01 10:15:00+0000,15.0,,,
2022-01-01 10:30:00+0000,12.0,,,
2022-01-01 10:45:00+0000,8.0,,,
2022-01-01 11:00:00+0000,4.0,823.0,,0.0
2022-01-01 11:15:00+0000,10.0,,,
2022-01-01 11:30:00+0000,23.0,,,
2022-01-01 11:45:00+0000,9.0,,,
2022-01-01 12:00:00+0000,7.0,710.0,,0.0
2022-01-01 12:15:00+0000,5.0,,,
2022-01-01 12:30:00+0000,11.0,,,
2022-01-01 12:45:00+0000,11.0,,,
2022-01-01 13:00:00+0000,13.0,719.0,,0.0
2022-01-01 13:15:00+0000,14.0,,,
2022-01-01 13:30:00+0000,10.0,,,
2022-01-01 13:45:00+0000,4.0,,,
2022-01-01 14:00:00+0000,1.0,789.0,,0.0
2022-01-01 14:15:00+0000,0.0,,,
2022-01-01 14:30:00+0000,0.0,,,
2022-01-01 14:45:00+0000,0.0,,,
2022-01-01 15:00:00+0000,0.0,771.0,,0.0
2022-01-01 15:15:00+0000,0.0,,,
2022-01-01 15:30:00+0000,0.0,,,
2022-01-01 15:45:00+0000,0.0,,,
2022-01-01 16:00:00+0000,0.0,871.0,,0.0
2022-01-01 16:15:00+0000,0.0,,,
2022-01-01 16:30:00+0000,0.0,,,
2022-01-01 16:45:00+0000,0.0,,,
2022-01-01 17:00:00+0000,0.0,952.0,,0.0
2022-01-01 17:15:00+0000,0.0,,,
2022-01-01 17:30:00+0000,0.0,,,
2022-01-01 17:45:00+0000,0.0,,,
2022-01-01 18:00:00+0000,0.0,1023.0,,0.0
2022-01-01 18:15:00+0000,0.0,,,
2022-01-01 18:30:00+0000,0.0,,,
2022-01-01 18:45:00+0000,0.0,,,
2022-01-01 19:00:00+0000,0.0,955.0,,0.0
2022-01-01 19:15:00+0000,0.0,,,
2022-01-01 19:30:00+0000,0.0,,,
2022-01-01 19:45:00+0000,0.0,,,
2022-01-01 20:00:00+0000,0.0,782.0,,0.0
2022-01-01 20:15:00+0000,0.0,,,
2022-01-01 20:30:00+0000,0.0,,,
2022-01-01 20:45:00+0000,0.0,,,
2022-01-01 21:00:00+0000,0.0,868.0,,0.0
2022-01-01 21:15:00+0000,0.0,,,
2022-01-01 21:30:00+0000,0.0,,,
2022-01-01 21:45:00+0000,0.0,,,
2022-01-01 22:00:00+0000,0.0,819.0,,0.0
2022-01-01 22:15:00+0000,0.0,,,
2022-01-01 22:30:00+0000,6.0,,,
2022-01-01 22:45:00+0000,8.0,,,
2022-01-01 23:00:00+0000,6.0,538.0,,0.0
2022-01-01 23:15:00+0000,0.0,,,
2022-01-01 23:30:00+0000,8.0,,,
2022-01-01 23:45:00+0000,10.0,,,
2022-01-02 00:00:00+0000,8.0,817.0,,0.0
2022-01-02 00:15:00+0000,8.0,,,
2022-01-02 00:30:00+0000,20.0,,,
2022-01-02 00:45:00+0000,21.0,,,
2022-01-02 01:00:00+0000,30.0,716.0,,0.0
2022-01-02 01:15:00+0000,30.0,,,
2022-01-02 01:30:00+0000,33.0,,,
2022-01-02 01:45:00+0000,38.0,,,
2022-01-02 02:00:00+0000,45.0,369.0,,0.0
2022-01-02 02:15:00+0000,0.0,,,
2022-01-02 02:30:00+0000,0.0,,,
2022-01-02 02:45:00+0000,0.0,,,
2022-01-02 03:00:00+0000,0.0,409.0,,0.0
2022-01-02 03:15:00+0000,0.0,,,
2022-01-02 03:30:00+0000,26.0,,,
2022-01-02 03:45:00+0000,27.0,,,
2022-01-02 04:00:00+0000,29.0,830.0,,0.0
2022-01-02 04:15:00+0000,29.0,,,
2022-01-02 04:30:00+0000,22.0,,,
2022-01-02 04:45:00+0000,18.0,,,
2022-01-02 05:00:00+0000,0.0,390.0,,0.0
2022-01-02 05:15:00+0000,28.0,,,
2022-01-02 05:30:00+0000,31.0,,,
2022-01-02 05:45:00+0000,0.0,,,
2022-01-02 06:00:00+0000,0.0,634.0,,0.0
2022-01-02 06:15:00+0000,17.0,,,
2022-01-02 06:30:00+0000,15.0,,,
2022-01-02 06:45:00+0000,12.0,,,
2022-01-02 07:00:00+0000,2.0,725.0,,0.0
2022-01-02 07:15:00+0000,0.0,,,
2022-01-02 07:30:00+0000,0.0,,,
2022-01-02 07:45:00+0000,0.0,,,
2022-01-02 08:00:00+0000,0.0,516.0,,0.0
2022-01-02 08:15:00+0000,0.0,,,
2022-01-02 08:30:00+0000,0.0,,,
2022-01-02 08:45:00+0000,0.0,,,
2022-01-02 09:00:00+0000,0.0,135.0,,0.0
2022-01-02 09:15:00+0000,0.0,,,
2022-01-02 09:30:00+0000,0.0,,,
2022-01-02 09:45:00+0000,0.0,,,
2022-01-02 10:00:00+0000,0.0,415.0,,0.0
2022-01-02 10:15:00+0000,0.0,,,
2022-01-02 10:30:00+0000,0.0,,,
2022-01-02 10:45:00+0000,0.0,,,
2022-01-02 11:00:00+0000,0.0,631.0,,0.0
2022-01-02 11:15:00+0000,0.0,,,
2022-01-02 11:30:00+0000,0.0,,,
2022-01-02 11:45:00+0000,0.0,,,
2022-01-02 12:00:00+0000,0.0,531.0,,38.0
2022-01-02 12:15:00+0000,0.0,,,
2022-01-02 12:30:00+0000,0.0,,,
2022-01-02 12:45:00+0000,0.0,,,
2022-01-02 13:00:00+0000,0.0,576.0,,11.0
2022-01-02 13:15:00+0000,0.0,,,
2022-01-02 13:30:00+0000,0.0,,,
2022-01-02 13:45:00+0000,0.0,,,
2022-01-02 14:00:00+0000,0.0,412.0,,0.0
2022-01-02 14:15:00+0000,0.0,,,
2022-01-02 14:30:00+0000,0.0,,,
2022-01-02 14:45:00+0000,0.0,,,
2022-01-02 15:00:00+0000,0.0,462.0,,123.0
2022-01-02 15:15:00+0000,0.0,,,
2022-01-02 15:30:00+0000,0.0,,,
2022-01-02 15:45:00+0000,0.0,,,
2022-01-02 16:00:00+0000,0.0,429.0,,87.0
2022-01-02 16:15:00+0000,0.0,,,
2022-01-02 16:30:00+0000,0.0,,,
2022-01-02 16:45:00+0000,0.0,,,
2022-01-02 17:00:00+0000,0.0,663.0,,132.0
2022-01-02 17:15:00+0000,0.0,,,
2022-01-02 17:30:00+0000,0.0,,,
2022-01-02 17:45:00+0000,0.0,,,
2022-01-02 18:00:00+0000,0.0,643.0,,42.0
2022-01-02 18:15:00+0000,0.0,,,
2022-01-02 18:30:00+0000,0.0,,,
2022-01-02 18:45:00+0000,0.0,,,
2022-01-02 19:00:00+0000,0.0,871.0,,0.0
2022-01-02 19:15:00+0000,0.0,,,
2022-01-02 19:30:00+0000,0.0,,,
2022-01-02 19:45:00+0000,0.0,,,
2022-01-02 20:00:00+0000,0.0,862.0,,0.0
2022-01-02 20:15:00+0000,0.0,,,
2022-01-02 20:30:00+0000,0.0,,,
2022-01-02 20:45:00+0000,0.0,,,
2022-01-02 21:00:00+0000,0.0,1061.0,,0.0
2022-01-02 21:15:00+0000,0.0,,,
2022-01-02 21:30:00+0000,0.0,,,
2022-01-02 21:45:00+0000,0.0,,,
2022-01-02 22:00:00+0000,0.0,498.0,,0.0
2022-01-02 22:15:00+0000,0.0,,,
2022-01-02 22:30:00+0000,0.0,,,
2022-01-02 22:45:00+0000,0.0,,,
2022-01-02 23:00:00+0000,0.0,907.0,,0.0
2022-01-02 23:15:00+0000,0.0,,,
2022-01-02 23:30:00+0000,0.0,,,
2022-01-02 23:45:00+0000,0.0,,,
2022-01-03 00:00:00+0000,0.0,710.0,,0.0
2022-01-03 00:15:00+0000,0.0,,,
2022-01-03 00:30:00+0000,0.0,,,
2022-01-03 00:45:00+0000,0.0,,,
2022-01-03 01:00:00+0000,0.0,337.0,,0.0
2022-01-03 01:15:00+0000,0.0,,,
2022-01-03 01:30:00+0000,0.0,,,
2022-01-03 01:45:00+0000,1.0,,,
2022-01-03 02:00:00+0000,4.0,716.0,,0.0
2022-01-03 02:15:00+0000,2.0,,,
2022-01-03 02:30:00+0000,3.0,,,
2022-01-03 02:45:00+0000,3.0,,,
2022-01-03 03:00:00+0000,0.0,791.0,,0.0
2022-01-03 03:15:00+0000,0.0,,,
2022-01-03 03:30:00+0000,0.0,,,
2022-01-03 03:45:00+0000,0.0,,,
2022-01-03 04:00:00+0000,0.0,935.0,,0.0
2022-01-03 04:15:00+0000,0.0,,,
2022-01-03 04:30:00+0000,0.0,,,
2022-01-03 04:45:00+0000,0.0,,,
2022-01-03 05:00:00+0000,0.0,948.0,,0.0
2022-01-03 05:15:00+0000,0.0,,,
2022-01-03 05:30:00+0000,0.0,,,
2022-01-03 05:45:00+0000,0.0,,,
2022-01-03 06:00:00+0000,0.0,915.0,,0.0
2022-01-03 06:15:00+0000,0.0,,,
2022-01-03 06:30:00+0000,0.0,,,
2022-01-03 06:45:00+0000,0.0,,,
2022-01-03 07:00:00+0000,0.0,1019.0,,0.0
2022-01-03 07:15:00+0000,0.0,,,
2022-01-03 07:30:00+0000,0.0,,,
2022-01-03 07:45:00+0000,0.0,,,
2022-01-03 08:00:00+0000,0.0,1074.0,,0.0
2022-01-03 08:15:00+0000,0.0,,,
2022-01-03 08:30:00+0000,0.0,,,
2022-01-03 08:45:00+0000,0.0,,,
2022-01-03 09:00:00+0000,0.0,977.0,,0.0
2022-01-03 09:15:00+0000,0.0,,,
2022-01-03 09:30:00+0000,0.0,,,
2022-01-03 09:45:00+0000,0.0,,,
2022-01-03 10:00:00+0000,0.0,920.0,,0.0
2022-01-03 10:15:00+0000,0.0,,,
2022-01-03 10:30:00+0000,0.0,,,
2022-01-03 10:45:00+0000,0.0,,,
2022-01-03 11:00:00+0000,0.0,884.0,,0.0
2022-01-03 11:15:00+0000,0.0,,,
2022-01-03 11:30:00+0000,0.0,,,
2022-01-03 11:45:00+0000,0.0,,,
2022-01-03 12:00:00+0000,0.0,869.0,,0.0
2022-01-03 12:15:00+0000,0.0,,,
2022-01-03 12:30:00+0000,0.0,,,
2022-01-03 12:45:00+0000,0.0,,,
2022-01-03 13:00:00+0000,0.0,951.0,,0.0
2022-01-03 13:15:00+0000,0.0,,,
2022-01-03 13:30:00+0000,0.0,,,
2022-01-03 13:45:00+0000,0.0,,,
2022-01-03 14:00:00+0000,0.0,957.0,,0.0
2022-01-03 14:15:00+0000,0.0,,,
2022-01-03 14:30:00+0000,0.0,,,
2022-01-03 14:45:00+0000,0.0,,,
2022-01-03 15:00:00+0000,0.0,943.0,,0.0
2022-01-03 15:15:00+0000,0.0,,,
2022-01-03 15:30:00+0000,0.0,,,
2022-01-03 15:45:00+0000,0.0,,,
2022-01-03 16:00:00+0000,0.0,1010.0,,0.0
2022-01-03 16:15:00+0000,0.0,,,
2022-01-03 16:30:00+0000,0.0,,,
2022-01-03 16:45:00+0000,0.0,,,
2022-01-03 17:00:00+0000,0.0,1057.0,,0.0
2022-01-03 17:15:00+0000,0.0,,,
2022-01-03 17:30:00+0000,0.0,,,
2022-01-03 17:45:00+0000,0.0,,,
2022-01-03 18:00:00+0000,0.0,963.0,,4.0
2022-01-03 18:15:00+0000,0.0,,,
2022-01-03 18:30:00+0000,0.0,,,
2022-01-03 18:45:00+0000,0.0,,,
2022-01-03 19:00:00+0000,0.0,1020.0,,0.0
2022-01-03 19:15:00+0000,0.0,,,
2022-01-03 19:30:00+0000,0.0,,,
2022-01-03 19:45:00+0000,0.0,,,
2022-01-03 20:00:00+0000,0.0,1068.0,,0.0
2022-01-03 20:15:00+0000,0.0,,,
2022-01-03 20:30:00+0000,0.0,,,
2022-01-03 20:45:00+0000,0.0,,,
2022-01-03 21:00:00+0000,0.0,861.0,,0.0
2022-01-03 21:15:00+0000,0.0,,,
2022-01-03 21:30:00+0000,0.0,,,
2022-01-03 21:45:00+0000,0.0,,,
2022-01-03 22:00:00+0000,0.0,840.0,,0.0
2022-01-03 22:15:00+0000,0.0,,,
2022-01-03 22:30:00+0000,0.0,,,
2022-01-03 22:45:00+0000,0.0,,,
2022-01-03 23:00:00+0000,0.0,707.0,,0.0
2022-01-03 23:15:00+0000,0.0,,,
2022-01-03 23:30:00+0000,0.0,,,
2022-01-03 23:45:00+0000,0.0,,,
2022-01-04 00:00:00+0000,0.0,604.0,,0.0
2022-01-04 00:15:00+0000,0.0,,,
2022-01-04 00:30:00+0000,0.0,,,
2022-01-04 00:45:00+0000,0.0,,,
2022-01-04 01:00:00+0000,0.0,570.0,,0.0
2022-01-04 01:15:00+0000,0.0,,,
2022-01-04 01:30:00+0000,0.0,,,
2022-01-04 01:45:00+0000,0.0,,,
2022-01-04 02:00:00+0000,0.0,676.0,,0.0
2022-01-04 02:15:00+0000,0.0,,,
2022-01-04 02:30:00+0000,1.0,,,
2022-01-04 02:45:00+0000,0.0,,,
2022-01-04 03:00:00+0000,0.0,654.0,,0.0
2022-01-04 03:15:00+0000,0.0,,,
2022-01-04 03:30:00+0000,0.0,,,
2022-01-04 03:45:00+0000,0.0,,,
2022-01-04 04:00:00+0000,0.0,697.0,,0.0
2022-01-04 04:15:00+0000,0.0,,,
2022-01-04 04:30:00+0000,0.0,,,
2022-01-04 04:45:00+0000,0.0,,,
2022-01-04 05:00:00+0000,0.0,583.0,,0.0
2022-01-04 05:15:00+0000,0.0,,,
2022-01-04 05:30:00+0000,0.0,,,
2022-01-04 05:45:00+0000,0.0,,,
2022-01-04 06:00:00+0000,0.0,486.0,,31.0
2022-01-04 06:15:00+0000,0.0,,,
2022-01-04 06:30:00+0000,0.0,,,
2022-01-04 06:45:00+0000,0.0,,,
2022-01-04 07:00:00+0000,0.0,699.0,,66.0
2022-01-04 07:15:00+0000,0.0,,,
2022-01-04 07:30:00+0000,0.0,,,
2022-01-04 07:45:00+0000,0.0,,,
2022-01-04 08:00:00+0000,0.0,647.0,,59.0
2022-01-04 08:15:00+0000,0.0,,,
2022-01-04 08:30:00+0000,0.0,,,
2022-01-04 08:45:00+0000,0.0,,,
2022-01-04 09:00:00+0000,0.0,632.0,,76.0
2022-01-04 09:15:00+0000,0.0,,,
2022-01-04 09:30:00+0000,0.0,,,
2022-01-04 09:45:00+0000,0.0,,,
2022-01-04 10:00:00+0000,0.0,673.0,,0.0
2022-01-04 10:15:00+0000,0.0,,,
2022-01-04 10:30:00+0000,0.0,,,
2022-01-04 10:45:00+0000,0.0,,,
2022-01-04 11:00:00+0000,0.0,681.0,,3.0
2022-01-04 11:15:00+0000,0.0,,,
2022-01-04 11:30:00+0000,0.0,,,
2022-01-04 11:45:00+0000,0.0,,,
2022-01-04 12:00:00+0000,0.0,656.0,,0.0
2022-01-04 12:15:00+0000,0.0,,,
2022-01-04 12:30:00+0000,0.0,,,
2022-01-04 12:45:00+0000,0.0,,,
2022-01-04 13:00:00+0000,0.0,623.0,,0.0
2022-01-04 13:15:00+0000,0.0,,,
2022-01-04 13:30:00+0000,0.0,,,
2022-01-04 13:45:00+0000,0.0,,,
2022-01-04 14:00:00+0000,0.0,510.0,,0.0
2022-01-04 14:15:00+0000,0.0,,,
2022-01-04 14:30:00+0000,0.0,,,
2022-01-04 14:45:00+0000,0.0,,,
2022-01-04 15:00:00+0000,0.0,580.0,,0.0
2022-01-04 15:15:00+0000,0.0,,,
2022-01-04 15:30:00+0000,0.0,,,
2022-01-04 15:45:00+0000,0.0,,,
2022-01-04 16:00:00+0000,0.0,970.0,,0.0
2022-01-04 16:15:00+0000,0.0,,,
2022-01-04 16:30:00+0000,0.0,,,
2022-01-04 16:45:00+0000,0.0,,,
2022-01-04 17:00:00+0000,0.0,952.0,,0.0
2022-01-04 17:15:00+0000,0.0,,,
2022-01-04 17:30:00+0000,0.0,,,
2022-01-04 17:45:00+0000,0.0,,,
2022-01-04 18:00:00+0000,0.0,837.0,,0.0
2022-01-04 18:15:00+0000,0.0,,,
2022-01-04 18:30:00+0000,0.0,,,
2022-01-04 18:45:00+0000,0.0,,,
2022-01-04 19:00:00+0000,0.0,866.0,,0.0
2022-01-04 19:15:00+0000,0.0,,,
2022-01-04 19:30:00+0000,0.0,,,
2022-01-04 19:45:00+0000,0.0,,,
2022-01-04 20:00:00+0000,0.0,906.0,,0.0
2022-01-04 20:15:00+0000,0.0,,,
2022-01-04 20:30:00+0000,0.0,,,
2022-01-04 20:45:00+0000,0.0,,,
2022-01-04 21:00:00+0000,0.0,880.0,,0.0
2022-01-04 21:15:00+0000,0.0,,,
2022-01-04 21:30:00+0000,0.0,,,
2022-01-04 21:45:00+0000,0.0,,,
2022-01-04 22:00:00+0000,0.0,844.0,,0.0
2022-01-04 22:15:00+0000,0.0,,,
2022-01-04 22:30:00+0000,0.0,,,
2022-01-04 22:45:00+0000,0.0,,,
2022-01-04 23:00:00+0000,31.0,682.0,,0.0
2022-01-04 23:15:00+0000,31.0,,,
2022-01-04 23:30:00+0000,41.0,,,
2022-01-04 23:45:00+0000,41.0,,,
2022-01-05 00:00:00+0000,62.0,643.0,,0.0
2022-01-05 00:15:00+0000,50.0,,,
2022-01-05 00:30:00+0000,60.0,,,
2022-01-05 00:45:00+0000,61.0,,,
2022-01-05 01:00:00+0000,74.0,568.0,,0.0
2022-01-05 01:15:00+0000,41.0,,,
2022-01-05 01:30:00+0000,36.0,,,
2022-01-05 01:45:00+0000,35.0,,,
2022-01-05 02:00:00+0000,39.0,772.0,,0.0
2022-01-05 02:15:00+0000,41.0,,,
2022-01-05 02:30:00+0000,33.0,,,
2022-01-05 02:45:00+0000,34.0,,,
2022-01-05 03:00:00+0000,29.0,769.0,,0.0
2022-01-05 03:15:00+0000,29.0,,,
2022-01-05 03:30:00+0000,33.0,,,
2022-01-05 03:45:00+0000,31.0,,,
2022-01-05 04:00:00+0000,3.0,734.0,,0.0
2022-01-05 04:15:00+0000,0.0,,,
2022-01-05 04:30:00+0000,0.0,,,
2022-01-05 04:45:00+0000,0.0,,,
2022-01-05 05:00:00+0000,0.0,792.0,,0.0
2022-01-05 05:15:00+0000,0.0,,,
2022-01-05 05:30:00+0000,0.0,,,
2022-01-05 05:45:00+0000,0.0,,,
2022-01-05 06:00:00+0000,0.0,889.0,,0.0
2022-01-05 06:15:00+0000,0.0,,,
2022-01-05 06:30:00+0000,0.0,,,
2022-01-05 06:45:00+0000,0.0,,,
2022-01-05 07:00:00+0000,0.0,952.0,,0.0
2022-01-05 07:15:00+0000,0.0,,,
2022-01-05 07:30:00+0000,0.0,,,
2022-01-05 07:45:00+0000,0.0,,,
2022-01-05 08:00:00+0000,0.0,833.0,,0.0
2022-01-05 08:15:00+0000,0.0,,,
2022-01-05 08:30:00+0000,0.0,,,
2022-01-05 08:45:00+0000,0.0,,,
2022-01-05 09:00:00+0000,0.0,927.0,,0.0
2022-01-05 09:15:00+0000,0.0,,,
2022-01-05 09:30:00+0000,0.0,,,
2022-01-05 09:45:00+0000,0.0,,,
2022-01-05 10:00:00+0000,0.0,865.0,,0.0
2022-01-05 10:15:00+0000,0.0,,,
2022-01-05 10:30:00+0000,0.0,,,
2022-01-05 10:45:00+0000,0.0,,,
2022-01-05 11:00:00+0000,1.0,708.0,,0.0
2022-01-05 11:15:00+0000,0.0,,,
2022-01-05 11:30:00+0000,0.0,,,
2022-01-05 11:45:00+0000,0.0,,,
2022-01-05 12:00:00+0000,1.0,807.0,,0.0
2022-01-05 12:15:00+0000,0.0,,,
2022-01-05 12:30:00+0000,0.0,,,
2022-01-05 12:45:00+0000,0.0,,,
2022-01-05 13:00:00+0000,0.0,918.0,,0.0
2022-01-05 13:15:00+0000,0.0,,,
2022-01-05 13:30:00+0000,0.0,,,
2022-01-05 13:45:00+0000,0.0,,,
2022-01-05 14:00:00+0000,0.0,967.0,,0.0
2022-01-05 14:15:00+0000,0.0,,,
2022-01-05 14:30:00+0000,0.0,,,
2022-01-05 14:45:00+0000,0.0,,,
2022-01-05 15:00:00+0000,0.0,782.0,,0.0
2022-01-05 15:15:00+0000,0.0,,,
2022-01-05 15:30:00+0000,0.0,,,
2022-01-05 15:45:00+0000,0.0,,,
2022-01-05 16:00:00+0000,0.0,871.0,,0.0
2022-01-05 16:15:00+0000,0.0,,,
2022-01-05 16:30:00+0000,0.0,,,
2022-01-05 16:45:00+0000,0.0,,,
2022-01-05 17:00:00+0000,0.0,890.0,,0.0
2022-01-05 17:15:00+0000,0.0,,,
2022-01-05 17:30:00+0000,0.0,,,
2022-01-05 17:45:00+0000,0.0,,,
2022-01-05 18:00:00+0000,0.0,1005.0,,0.0
2022-01-05 18:15:00+0000,0.0,,,
2022-01-05 18:30:00+0000,0.0,,,
2022-01-05 18:45:00+0000,0.0,,,
2022-01-05 19:00:00+0000,0.0,948.0,,0.0
2022-01-05 19:15:00+0000,0.0,,,
2022-01-05 19:30:00+0000,0.0,,,
2022-01-05 19:45:00+0000,0.0,,,
2022-01-05 20:00:00+0000,7.0,1004.0,,0.0
2022-01-05 20:15:00+0000,16.0,,,
2022-01-05 20:30:00+0000,20.0,,,
2022-01-05 20:45:00+0000,27.0,,,
2022-01-05 21:00:00+0000,40.0,960.0,,0.0
2022-01-05 21:15:00+0000,44.0,,,
2022-01-05 21:30:00+0000,54.0,,,
2022-01-05 21:45:00+0000,62.0,,,
2022-01-05 22:00:00+0000,112.0,784.0,,0.0
2022-01-05 22:15:00+0000,115.0,,,
2022-01-05 22:30:00+0000,165.0,,,
2022-01-05 22:45:00+0000,215.0,,,
2022-01-05 23:00:00+0000,263.0,703.0,,0.0
2022-01-05 23:15:00+0000,200.0,,,
2022-01-05 23:30:00+0000,224.0,,,
2022-01-05 23:45:00+0000,221.0,,,
2022-01-06 00:00:00+0000,271.0,746.0,,0.0
2022-01-06 00:15:00+0000,247.0,,,
2022-01-06 00:30:00+0000,244.0,,,
2022-01-06 00:45:00+0000,274.0,,,
2022-01-06 01:00:00+0000,278.0,499.0,,0.0
2022-01-06 01:15:00+0000,0.0,,,
2022-01-06 01:30:00+0000,0.0,,,
2022-01-06 01:45:00+0000,312.0,,,
2022-01-06 02:00:00+0000,438.0,1019.0,,0.0
2022-01-06 02:15:00+0000,462.0,,,
2022-01-06 02:30:00+0000,441.0,,,
2022-01-06 02:45:00+0000,427.0,,,
2022-01-06 03:00:00+0000,247.0,1180.0,,0.0
2022-01-06 03:15:00+0000,259.0,,,
2022-01-06 03:30:00+0000,223.0,,,
2022-01-06 03:45:00+0000,229.0,,,
2022-01-06 04:00:00+0000,267.0,1083.0,,0.0
2022-01-06 04:15:00+0000,276.0,,,
2022-01-06 04:30:00+0000,250.0,,,
2022-01-06 04:45:00+0000,180.0,,,
2022-01-06 05:00:00+0000,65.0,1083.0,,0.0
2022-01-06 05:15:00+0000,75.0,,,
2022-01-06 05:30:00+0000,65.0,,,
2022-01-06 05:45:00+0000,79.0,,,
2022-01-06 06:00:00+0000,82.0,954.0,,0.0
2022-01-06 06:15:00+0000,59.0,,,
2022-01-06 06:30:00+0000,37.0,,,
2022-01-06 06:45:00+0000,79.0,,,
2022-01-06 07:00:00+0000,190.0,944.0,,0.0
2022-01-06 07:15:00+0000,164.0,,,
2022-01-06 07:30:00+0000,150.0,,,
2022-01-06 07:45:00+0000,83.0,,,
2022-01-06 08:00:00+0000,174.0,983.0,,0.0
2022-01-06 08:15:00+0000,203.0,,,
2022-01-06 08:30:00+0000,194.0,,,
2022-01-06 08:45:00+0000,181.0,,,
2022-01-06 09:00:00+0000,113.0,1009.0,,0.0
2022-01-06 09:15:00+0000,131.0,,,
2022-01-06 09:30:00+0000,113.0,,,
2022-01-06 09:45:00+0000,117.0,,,
2022-01-06 10:00:00+0000,31.0,1056.0,,0.0
2022-01-06 10:15:00+0000,16.0,,,
2022-01-06 10:30:00+0000,28.0,,,
2022-01-06 10:45:00+0000,33.0,,,
2022-01-06 11:00:00+0000,46.0,1016.0,,0.0
2022-01-06 11:15:00+0000,44.0,,,
2022-01-06 11:30:00+0000,51.0,,,
2022-01-06 11:45:00+0000,47.0,,,
2022-01-06 12:00:00+0000,150.0,949.0,,0.0
2022-01-06 12:15:00+0000,155.0,,,
2022-01-06 12:30:00+0000,185.0,,,
2022-01-06 12:45:00+0000,197.0,,,
2022-01-06 13:00:00+0000,191.0,952.0,,0.0
2022-01-06 13:15:00+0000,143.0,,,
2022-01-06 13:30:00+0000,170.0,,,
2022-01-06 13:45:00+0000,199.0,,,
2022-01-06 14:00:00+0000,287.0,918.0,,0.0
2022-01-06 14:15:00+0000,296.0,,,
2022-01-06 14:30:00+0000,283.0,,,
2022-01-06 14:45:00+0000,278.0,,,
2022-01-06 15:00:00+0000,241.0,965.0,,0.0
2022-01-06 15:15:00+0000,148.0,,,
2022-01-06 15:30:00+0000,139.0,,,
2022-01-06 15:45:00+0000,137.0,,,
2022-01-06 16:00:00+0000,82.0,959.0,,0.0
2022-01-06 16:15:00+0000,32.0,,,
2022-01-06 16:30:00+0000,34.0,,,
2022-01-06 16:45:00+0000,26.0,,,
2022-01-06 17:00:00+0000,0.0,1053.0,,0.0
2022-01-06 17:15:00+0000,0.0,,,
2022-01-06 17:30:00+0000,0.0,,,
2022-01-06 17:45:00+0000,0.0,,,
2022-01-06 18:00:00+0000,0.0,1163.0,,0.0
2022-01-06 18:15:00+0000,0.0,,,
2022-01-06 18:30:00+0000,0.0,,,
2022-01-06 18:45:00+0000,0.0,,,
2022-01-06 19:00:00+0000,0.0,796.0,,0.0
2022-01-06 19:15:00+0000,0.0,,,
2022-01-06 19:30:00+0000,4.0,,,
2022-01-06 19:45:00+0000,22.0,,,
2022-01-06 20:00:00+0000,53.0,803.0,,0.0
2022-01-06 20:15:00+0000,48.0,,,
2022-01-06 20:30:00+0000,61.0,,,
2022-01-06 20:45:00+0000,81.0,,,
2022-01-06 21:00:00+0000,48.0,775.0,,0.0
2022-01-06 21:15:00+0000,37.0,,,
2022-01-06 21:30:00+0000,53.0,,,
2022-01-06 21:45:00+0000,50.0,,,
