Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType,NoLoadCost_pu,MinEfficiency,CO2Intensity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
HRD,STUR,Ultra-supercritical,9.999999999,149.9999999999,0.346913082831814,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,9.999999999,7.5,0.346913082831814,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,9.999999999,7.4999999999,0.268555002367293,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,10,400,0.431726490579445,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,10,399.9999999999,0.404049547309817,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,10,150,0.404049547309817,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,10,149.9999999999,0.342645536790124,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,10,7.5,0.342645536790124,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,10,7.4999999999,0.265251377067338,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,20,400,0.431726490579445,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,20,399.9999999999,0.404049547309817,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,20,150,0.404049547309817,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,20,149.9999999999,0.342645536790124,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,20,7.5,0.342645536790124,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,20,7.4999999999,0.265251377067338,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
LIG,STUR,Sub-critical,9.999999999,400,0.397206846203141,13.5,2.25,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,9.999999999,399.9999999999,0.371742874015756,13.5,2.25,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,9.999999999,150,0.371742874015756,13.5,2.25,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,9.999999999,149.9999999999,0.315248556676053,13.5,2.25,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,9.999999999,7.5,0.315248556676053,13.5,2.25,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,9.999999999,7.4999999999,0.24404261780311,13.5,2.25,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
LIG,STUR,Sub-critical,10,400,0.3895298200748,13.5,8,0.0429,0.0429,81.5,1.8,0.4,5.5,,,,1.15,,,
