00:00 - 01:00,650,,n/e,n/e,679,,8427,,1252,,239,,n/e,n/e,n/e,n/e,648,,,428,2446,,255,,n/e,n/e,n/e,n/e,1417,,n/e,n/e,0,,21,,n/e,n/e,1295,
01:00 - 02:00,646,,n/e,n/e,680,,8013,,1220,,239,,n/e,n/e,n/e,n/e,648,,,627,2416,,249,,n/e,n/e,n/e,n/e,1449,,n/e,n/e,0,,21,,n/e,n/e,1291,
02:00 - 03:00,639,,n/e,n/e,681,,7983,,1210,,173,,n/e,n/e,n/e,n/e,648,,,776,2427,,241,,n/e,n/e,n/e,n/e,1470,,n/e,n/e,0,,21,,n/e,n/e,1229,
03:00 - 04:00,642,,n/e,n/e,686,,8665,,1184,,92,,n/e,n/e,n/e,n/e,648,,,774,2402,,227,,n/e,n/e,n/e,n/e,1524,,n/e,n/e,0,,24,,n/e,n/e,1164,
04:00 - 05:00,621,,n/e,n/e,682,,9021,,1216,,92,,n/e,n/e,n/e,n/e,649,,,435,2334,,249,,n/e,n/e,n/e,n/e,1567,,n/e,n/e,0,,31,,n/e,n/e,1092,
05:00 - 06:00,617,,n/e,n/e,682,,10689,,1187,,92,,n/e,n/e,n/e,n/e,649,,4,395,2889,,506,,n/e,n/e,n/e,n/e,1836,,n/e,n/e,0,,35,,n/e,n/e,1049,
06:00 - 07:00,620,,n/e,n/e,682,,12196,,1207,,93,,n/e,n/e,n/e,n/e,649,,144,65,3713,,709,,n/e,n/e,n/e,n/e,2074,,n/e,n/e,50,,35,,n/e,n/e,997,
07:00 - 08:00,619,,n/e,n/e,679,,13701,,1299,,91,,n/e,n/e,n/e,n/e,646,,604,,4315,,788,,n/e,n/e,n/e,n/e,2237,,n/e,n/e,1014,,33,,n/e,n/e,907,
08:00 - 09:00,617,,n/e,n/e,679,,13920,,1313,,94,,n/e,n/e,n/e,n/e,645,,585,,4607,,674,,n/e,n/e,n/e,n/e,2378,,n/e,n/e,2730,,35,,n/e,n/e,707,
09:00 - 10:00,618,,n/e,n/e,679,,14056,,1237,,92,,n/e,n/e,n/e,n/e,648,,418,,4249,,590,,n/e,n/e,n/e,n/e,2316,,n/e,n/e,4174,,31,,n/e,n/e,738,
10:00 - 11:00,626,,n/e,n/e,679,,13627,,1182,,93,,n/e,n/e,n/e,n/e,646,,312,,3747,,525,,n/e,n/e,n/e,n/e,2378,,n/e,n/e,5079,,31,,n/e,n/e,906,
11:00 - 12:00,635,,n/e,n/e,677,,13315,,1180,,91,,n/e,n/e,n/e,n/e,644,,222,,3387,,467,,n/e,n/e,n/e,n/e,2322,,n/e,n/e,5414,,34,,n/e,n/e,1023,
12:00 - 13:00,647,,n/e,n/e,676,,13320,,1177,,92,,n/e,n/e,n/e,n/e,644,,222,45,3176,,467,,n/e,n/e,n/e,n/e,2314,,n/e,n/e,4891,,34,,n/e,n/e,1099,
13:00 - 14:00,636,,n/e,n/e,667,,14387,,1178,,92,,n/e,n/e,n/e,n/e,634,,221,151,3559,,493,,n/e,n/e,n/e,n/e,2429,,n/e,n/e,3360,,34,,n/e,n/e,1185,
14:00 - 15:00,651,,n/e,n/e,631,,15675,,1220,,92,,n/e,n/e,n/e,n/e,647,,239,257,4015,,673,,n/e,n/e,n/e,n/e,2417,,n/e,n/e,1360,,33,,n/e,n/e,1187,
15:00 - 16:00,656,,n/e,n/e,653,,16134,,1423,,91,,n/e,n/e,n/e,n/e,649,,697,68,4991,,1030,,n/e,n/e,n/e,n/e,2475,,n/e,n/e,136,,31,,n/e,n/e,1332,
16:00 - 17:00,654,,n/e,n/e,708,,16076,,1932,,91,,n/e,n/e,n/e,n/e,645,,971,,6320,,1255,,n/e,n/e,n/e,n/e,2572,,n/e,n/e,0,,31,,n/e,n/e,1574,
