18:00 - 19:00,294,,n/e,n/e,n/e,n/e,1834,,0,,44,,n/e,n/e,n/e,n/e,n/e,n/e,1124,,21,,n/e,n/e,n/e,n/e,4538,,594,,n/e,n/e,0,,250,,649,,590,
19:00 - 20:00,288,,n/e,n/e,n/e,n/e,2262,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,971,,21,,n/e,n/e,n/e,n/e,4505,,612,,n/e,n/e,0,,250,,651,,628,
20:00 - 21:00,278,,n/e,n/e,n/e,n/e,1976,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,503,,21,,n/e,n/e,n/e,n/e,4506,,576,,n/e,n/e,0,,250,,651,,668,
21:00 - 22:00,269,,n/e,n/e,n/e,n/e,1940,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,82,0,20,,n/e,n/e,n/e,n/e,4505,,561,,n/e,n/e,0,,252,,651,,729,
22:00 - 23:00,274,,n/e,n/e,n/e,n/e,2010,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,114,0,21,,n/e,n/e,n/e,n/e,4506,,527,,n/e,n/e,0,,249,,650,,682,
23:00 - 00:00,283,,n/e,n/e,n/e,n/e,2081,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,223,,21,,n/e,n/e,n/e,n/e,4508,,552,,n/e,n/e,0,,251,,649,,611,
00:00 - 01:00,281,,n/e,n/e,n/e,n/e,1909,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,139,,21,,n/e,n/e,n/e,n/e,4507,,501,,n/e,n/e,0,,249,,624,,598,
01:00 - 02:00,285,,n/e,n/e,n/e,n/e,1842,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,108,3,22,,n/e,n/e,n/e,n/e,4509,,482,,n/e,n/e,0,,243,,633,,592,
02:00 - 03:00,297,,n/e,n/e,n/e,n/e,1744,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,591,22,,n/e,n/e,n/e,n/e,4507,,479,,n/e,n/e,0,,243,,635,,593,
03:00 - 04:00,278,,n/e,n/e,n/e,n/e,1760,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,690,25,,n/e,n/e,n/e,n/e,4503,,482,,n/e,n/e,0,,244,,636,,589,
04:00 - 05:00,270,,n/e,n/e,n/e,n/e,1779,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,703,28,,n/e,n/e,n/e,n/e,4506,,473,,n/e,n/e,0,,246,,642,,554,
05:00 - 06:00,262,,n/e,n/e,n/e,n/e,1777,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,536,30,,n/e,n/e,n/e,n/e,4508,,484,,n/e,n/e,0,,246,,644,,522,
06:00 - 07:00,262,,n/e,n/e,n/e,n/e,1772,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,781,30,,n/e,n/e,n/e,n/e,4509,,493,,n/e,n/e,0,,244,,634,,523,
07:00 - 08:00,262,,n/e,n/e,n/e,n/e,1885,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,786,29,,n/e,n/e,n/e,n/e,4510,,509,,n/e,n/e,0,,248,,584,,483,
08:00 - 09:00,220,,n/e,n/e,n/e,n/e,2115,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,172,29,,n/e,n/e,n/e,n/e,4510,,534,,n/e,n/e,0,,249,,563,,515,
09:00 - 10:00,157,,n/e,n/e,n/e,n/e,2129,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,199,26,,n/e,n/e,n/e,n/e,4510,,568,,n/e,n/e,60,,250,,636,,490,
10:00 - 11:00,141,,n/e,n/e,n/e,n/e,2014,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,43,25,,n/e,n/e,n/e,n/e,4509,,583,,n/e,n/e,236,,246,,636,,455,
11:00 - 12:00,142,,n/e,n/e,n/e,n/e,2046,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,56,,25,,n/e,n/e,n/e,n/e,4511,,577,,n/e,n/e,435,,243,,624,,434,
