15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,106,,31,,341,,n/e,n/e,2983,,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,4,
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,435,,31,,417,,n/e,n/e,3013,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,5,
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,396,,31,,410,,n/e,n/e,3015,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,5,
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,376,,31,,355,,n/e,n/e,3013,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,6,
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,119,,31,,295,,n/e,n/e,3014,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,6,
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,117,,31,,306,,n/e,n/e,3015,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,13,
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,100,,31,,320,,n/e,n/e,3015,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,16,
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,137,,31,,326,,n/e,n/e,3017,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,20,
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,89,,31,,298,,n/e,n/e,2995,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,25,
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,124,,31,,300,,n/e,n/e,2959,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,21,
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,69,,31,,330,,n/e,n/e,2961,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,22,
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,78,,32,,311,,n/e,n/e,2959,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,22,
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,73,,32,,310,,n/e,n/e,2987,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,19,
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,77,,32,,277,,n/e,n/e,2999,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,16,
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,70,,31,,300,,n/e,n/e,3006,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,14,
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,108,,30,,307,,n/e,n/e,3014,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,13,
