From / To,AL,AM,AT,AZ,BY,BE,BA,BG,HR,CY,CZ,DK,EE,FI,FR,GE,DE,EL,HU,IS,IE,IT,XK,LV,LT,LU,MT,MD,ME,NL,MK,NO,PL,PT,RO,RU,RS,SK,SI,ES,SE,CH,TR,UA,UK
IT,0,0,530,0,0,0,0,0,0,0,0,0,0,0,1265,0,0,500,0,0,0,-,0,0,0,0,200,0,600,0,0,0,0,0,0,0,0,0,1080,0,0,1190,0,0,0
XK,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,200,0,300,0,0,0,0,0,500,0,0,0,0,0,0,0,0
LV,0,0,0,0,0.00001,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,-,1200,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
LT,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-,0,0,0,0,0,0,0,500,0,0,0.00001,0,0,0,0,700,0,0,0,0
LU,0,0,0,0,0,700,0,0,0,0,0,0,0,0,50,0,4000,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,600,0
ME,440,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,300,0,0,0,0,0,-,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,3100,0,0,0,0,0,700,0,0,0,0,5050,0,0,0,0,0,0,0,0,0,0,0,0,-,0,700,0,0,0,0,0,0,0,0,0,0,0,0,1000
MK,0.00001,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,600,0,0,0,0,300,0,0,0,0,0,0,0,-,0,0,0,0,0,450,0,0,0,0,0,0,0,0
NO,0,0,0,0,0,0,0,0,0,0,0,1700,0,100,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,700,0,-,0,0,0,0.00001,0,0,0,0,3700,0,0,0,1400
PL,0,0,0,0,0.00001,0,0,0,0,0,1100,0,0,0,0,0,1100,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,-,0,0,0.00001,0,1100,0,0,600,0,0,1000,0
PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,3500,0,0,0,0,0
RO,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,-,0,700,0,0,0,0,0,0,1200,0
RU,0,400,0,1200,3500,0,0,0,0,0,0,0,0.00001,0.00001,0,1100,0,0,0,0,0,0,0,0.00001,0.00001,0,0,0,0,0,0,0.00001,0.00001,0,0,-,0,0,0,0,0,0,0,0.00001,0
RS,0,0,0,0,0,0,600,450,600,0,0,0,0,0,0,0,0,0,700,0,0,0,0.00001,0,0,0,0,0,400,0,450,0,0,0,1000,0,-,0,0,0,0,0,0,0,0
SK,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,-,0,0,0,0,0,400,0
SI,0,0,1100,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,600,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,-,0,0,0,0,0
SE,0,0,0,0,0,0,0,0,0,0,0,2500,0,2100,0,0,600,0,0,0,0,0,0,0,700,0,0,0,0,0,0,3700,600,0,0,0,0,0,0,0,-,0,0,0,0
CH,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,3000,0,4000,0,0,0,0,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0
TR,0,0,0,450,0,0,0,500,0,0,0,0,0,0,0,700,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0
UA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,400,0,0,0,0,100,0,150,0,0,100,0,0,0,0,0,-,0
UK,0,0,0,0,0,1000,0,0,0,0,0,1400,0,0,3000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,-
