name,bus0,bus1,bus2,bus3,bus4,type,carrier,efficiency,efficiency2,efficiency3,efficiency4,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,delay2,delay3,delay4,cyclic_delay,cyclic_delay2,cyclic_delay3,cyclic_delay4,p_nom_opt,geometry,tags,under_construction,underground,underwater_fraction,length_original,reversed
NL1 0 biogas to gas CC,NL1 0 biogas,NL1 0 gas,NL1 0 co2 stored,co2 atmosphere,,,biogas to gas CC,1.0,0.07812000000000001,-0.27612000000000003,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,236657.14603279263,,,0.0,3.6813758722062,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.1308425686920423,,,,,,0.0,False
NL1 0 urban central solid biomass CHP-2030,NL1 0 solid biomass,NL1 0,NL1 0 urban central heat,,,,urban central solid biomass CHP,0.2699,0.8245,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,109510.43714662264,,,0.0,4.862043839723258,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.07549714203298218,,,,,,0.0,False
NL1 0 urban central solid biomass CHP CC-2030,NL1 0 solid biomass,NL1 0,NL1 0 urban central heat,co2 atmosphere,NL1 0 co2 stored,,urban central solid biomass CHP CC,0.22956299999999996,0.875838,-0.33003000000000005,0.33003000000000005,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,224173.27214163146,,,0.0,4.861579905094491,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,6487.8327380536575,,,,,,0.0,False
NL1 0 residential rural biomass boiler-2030,NL1 0 solid biomass,NL1 0 residential rural heat,,,,,residential rural biomass boiler,0.86,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,110008.21646089929,,,0.0,9.00944146141958,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.05929106134176291,,,,,,0.0,False
NL1 0 services rural biomass boiler-2030,NL1 0 solid biomass,NL1 0 services rural heat,,,,,services rural biomass boiler,0.86,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,110008.21646089929,,,0.0,9.01072074682053,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.1104222061573883,,,,,,0.0,False
NL1 0 residential urban decentral biomass boiler-2030,NL1 0 solid biomass,NL1 0 residential urban decentral heat,,,,,residential urban decentral biomass boiler,0.86,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,110008.21646089929,,,0.0,9.0098328732248,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.06180489946090606,,,,,,0.0,False
NL1 0 services urban decentral biomass boiler-2030,NL1 0 solid biomass,NL1 0 services urban decentral heat,,,,,services urban decentral biomass boiler,0.86,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,110008.21646089929,,,0.0,9.010294039190274,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.07113492617293886,,,,,,0.0,False
NL1 0 solid biomass biomass to liquid-2030,NL1 0 solid biomass,NL1 0 oil,co2 atmosphere,,,,biomass to liquid,0.3833,-0.09860000000000002,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,350753.63520224707,,,0.0,0.44359389992572995,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.02123268893542115,,,,,,0.0,False
NL1 0 solid biomass biomass to liquid CC-2030,NL1 0 solid biomass,NL1 0 oil,co2 atmosphere,NL1 0 co2 stored,,,biomass to liquid,0.3833,-0.33989,0.24129,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,434585.39430277026,,,0.0,0.44257020894314286,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.02451810805479455,,,,,,0.0,False
NL1 0 solid biomass solid biomass to gas-2030,NL1 0 solid biomass,NL1 0 gas,,co2 atmosphere,,,BioSNG,0.63,1.0,-0.12480000000000002,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,173862.5264199293,,,0.0,1.1494851135100026,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.039473925498504626,,,,,,0.0,False
