Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company
,Shamrock,132.0,1.0,DE,,,STUR,HRD,0.3175,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,KWM,690.0,1.0,DE,,,STUR,HRD,0.4325,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Kraftwerk Mehrum GmbH
,Ibbenbüren,794.0,1.0,DE,,,STUR,HRD,0.4475,8.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,RWE Generation SE
,Heizkraftwerk,66.0,1.0,DE,,,STUR,HRD,0.3975,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Infraserv GmbH & Co. Höchst KG
,HKW Karcherstr.,13.4,1.0,DE,,,STUR,HRD,0.415,8.0,,,,,,,,,,,,,,,,,,,,,,,,,"SWK Stadtwerke Kaiserslautern, Versorgungs-AG"
,Rheinhafen-Dampfkraftwerk,517.0,1.0,DE,,,STUR,HRD,0.4375,8.0,,,,,,,,,,,,,,220.0,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Rheinhafen-Dampfkraftwerk,834.0,1.0,DE,,,STUR,HRD,0.46,8.0,,,,,,,,,,,,,,220.0,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Gemeinschaftskraftwerk Kiel,323.0,1.0,DE,,,STUR,HRD,0.35,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Gemeinschaftskraftwerk Kiel GmbH
,Kraftwerk L 57,26.0,1.0,DE,,,STUR,HRD,0.3175,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Currenta GmbH & Co. OHG
,Kraftwerk N 230,110.0,1.0,DE,,,STUR,HRD,0.3525,8.0,,,,,,,,,,,,,,460.0,,,,,,,,,,,Currenta GmbH & Co. OHG
,G-Kraftwerk,103.0,1.0,DE,,,STUR,HRD,0.33,8.0,,,,,,,,,,,,,,572.1328125,,,,,,,,,,,Currenta GmbH & Co. OHG
,KW Lünen,473.0,2.0,DE,,,STUR,HRD,0.3399999999999999,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Steag GmbH
,GKM ,2363.0,6.0,DE,,,STUR,HRD,0.39625,8.0,,,,,,,,,,,,,,1500.0,,,,,,,,,,,Grosskraftwerk Mannheim AG
,Kraftwerk I  ,55.56,1.0,DE,,,COMC,HRD,0.4095,2.0,,,,,,,,,,,,,,155.91202945990182,,,,,,,,,,,Evonik Degussa GmbH
,Kraftwerk II,60.4,1.0,DE,,,STUR,HRD,0.34,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Evonik Degussa GmbH
,Kraftwerk I ,68.4,1.0,DE,,,COMC,HRD,0.4635,5.0,,,,,,,,,,,,,,191.9435351882161,,,,,,,,,,,Evonik Degussa GmbH
