,PHOT,WTOF,WTON
2016-01-05 01:00:00,0.0,0.0,0.0051909999999999
2016-01-05 01:30:00,0.0,0.0,0.0094439999999999
2016-01-05 02:00:00,0.0,0.0,0.0136969999999999
2016-01-05 02:30:00,0.0,0.0,0.03051649999999995
2016-01-05 03:00:00,0.0,0.0,0.047336
2016-01-05 03:30:00,0.0,0.0,0.062051999999999954
2016-01-05 04:00:00,0.0,0.0,0.0767679999999999
2016-01-05 04:30:00,0.0,0.0,0.08156799999999995
2016-01-05 05:00:00,0.0,0.0,0.086368
2016-01-05 05:30:00,0.0055,0.0,0.07816300000000001
2016-01-05 06:00:00,0.011,0.0,0.069958
2016-01-05 06:30:00,0.0415,0.0,0.05455650000000001
2016-01-05 07:00:00,0.072,0.0,0.039155
2016-01-05 07:30:00,0.11399999999999999,0.0,0.0285765
2016-01-05 08:00:00,0.156,0.0,0.017998
2016-01-05 08:30:00,0.20600000000000002,0.0,0.017072999999999998
2016-01-05 09:00:00,0.256,0.0,0.016148
2016-01-05 09:30:00,0.2935,0.0,0.0148095
2016-01-05 10:00:00,0.331,0.0,0.013471
2016-01-05 10:30:00,0.318,0.0,0.01102
2016-01-05 11:00:00,0.305,0.0,0.008569
2016-01-05 11:30:00,0.27349999999999997,0.0,0.00604949999999995
2016-01-05 12:00:00,0.242,0.0,0.0035299999999999
2016-01-05 12:30:00,0.189,0.0,0.00410749999999995
2016-01-05 13:00:00,0.136,0.0,0.004685
2016-01-05 13:30:00,0.0855,0.0,0.011364500000000001
2016-01-05 14:00:00,0.035,0.0,0.018044
2016-01-05 14:30:00,0.0175,0.0,0.025126
2016-01-05 15:00:00,0.0,0.0,0.032208
2016-01-05 15:30:00,0.0,0.0,0.027312
2016-01-05 16:00:00,0.0,0.0,0.022416
2016-01-05 16:30:00,0.0,0.0,0.0194605
2016-01-05 17:00:00,0.0,0.0,0.016505
2016-01-05 17:30:00,0.0,0.0,0.015293999999999999
2016-01-05 18:00:00,0.0,0.0,0.014083
2016-01-05 18:30:00,0.0,0.0,0.0139925
2016-01-05 19:00:00,0.0,0.0,0.013902
2016-01-05 19:30:00,0.0,0.0,0.010613
2016-01-05 20:00:00,0.0,0.0,0.007324
2016-01-05 20:30:00,0.0,0.0,0.0094855
2016-01-05 21:00:00,0.0,0.0,0.011647
2016-01-05 21:30:00,0.0,0.0,0.0311255
2016-01-05 22:00:00,0.0,0.0,0.050604
2016-01-05 22:30:00,0.0,0.0,0.1021255
2016-01-05 23:00:00,0.0,0.0,0.153647
2016-01-05 23:30:00,0.0,0.0,0.16067499999999998
2016-01-06 00:00:00,0.0,0.0,0.167703
2016-01-06 00:30:00,0.0,0.0,0.163398
2016-01-06 01:00:00,0.0,0.0,0.159093
2016-01-06 01:30:00,0.0,0.0,0.1582445
2016-01-06 02:00:00,0.0,0.0,0.157396
2016-01-06 02:30:00,0.0,0.0,0.1451125
2016-01-06 03:00:00,0.0,0.0,0.132829
2016-01-06 03:30:00,0.0,0.0,0.1079445
2016-01-06 04:00:00,0.0,0.0,0.08306
2016-01-06 04:30:00,0.0,0.0,0.0783355
2016-01-06 05:00:00,0.0,0.0,0.073611
2016-01-06 05:30:00,0.00349999999999995,0.0,0.07054150000000001
2016-01-06 06:00:00,0.0069999999999999,0.0,0.067472
2016-01-06 06:30:00,0.019499999999999948,0.0,0.069101
2016-01-06 07:00:00,0.032,0.0,0.07073
2016-01-06 07:30:00,0.046,0.0,0.06800549999999994
2016-01-06 08:00:00,0.06,0.0,0.0652809999999999
2016-01-06 08:30:00,0.0675,0.0,0.06316449999999994
2016-01-06 09:00:00,0.075,0.0,0.061048
2016-01-06 09:30:00,0.078,0.0,0.059769
2016-01-06 10:00:00,0.081,0.0,0.05849
2016-01-06 10:30:00,0.0765,0.0,0.053897
2016-01-06 11:00:00,0.072,0.0,0.049304
2016-01-06 11:30:00,0.06,0.0,0.050872999999999946
2016-01-06 12:00:00,0.048,0.0,0.0524419999999999
2016-01-06 12:30:00,0.036500000000000005,0.0,0.060871999999999954
2016-01-06 13:00:00,0.025,0.0,0.069302
