05:00 - 05:30,N/A,N/A,n/e,n/e,n/e,n/e,6272,0,3407,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,961,,n/e,n/e,n/e,n/e,8221,,2043,0,n/e,n/e,0,,n/e,n/e,463,,2610,198
05:30 - 06:00,N/A,N/A,n/e,n/e,n/e,n/e,6064,0,3367,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,959,,n/e,n/e,n/e,n/e,8215,,2044,0,n/e,n/e,0,,n/e,n/e,549,,2570,188
06:00 - 06:30,N/A,N/A,n/e,n/e,n/e,n/e,5949,0,3576,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,31,,960,,n/e,n/e,n/e,n/e,8222,,2039,0,n/e,n/e,0,,n/e,n/e,710,,2693,184
06:30 - 07:00,N/A,N/A,n/e,n/e,n/e,n/e,6097,0,3651,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,891,,n/e,n/e,n/e,n/e,8224,,2006,0,n/e,n/e,0,,n/e,n/e,815,,2638,173
07:00 - 07:30,N/A,N/A,n/e,n/e,n/e,n/e,6470,0,3695,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,1011,,n/e,n/e,n/e,n/e,8225,,2012,0,n/e,n/e,0,,n/e,n/e,910,,2703,177
07:30 - 08:00,N/A,N/A,n/e,n/e,n/e,n/e,6488,0,3864,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,149,,1021,,n/e,n/e,n/e,n/e,8213,,2032,0,n/e,n/e,0,,n/e,n/e,947,,2782,185
08:00 - 08:30,N/A,N/A,n/e,n/e,n/e,n/e,5795,0,3661,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,50,,893,,n/e,n/e,n/e,n/e,8225,,1970,0,n/e,n/e,0,,n/e,n/e,1047,,2944,196
08:30 - 09:00,N/A,N/A,n/e,n/e,n/e,n/e,6232,0,3549,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,214,,1025,,n/e,n/e,n/e,n/e,8224,,2039,0,n/e,n/e,28,,n/e,n/e,1096,,3066,215
09:00 - 09:30,N/A,N/A,n/e,n/e,n/e,n/e,5944,0,3696,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,408,,891,,n/e,n/e,n/e,n/e,8223,,2041,0,n/e,n/e,56,,n/e,n/e,1123,,3243,193
09:30 - 10:00,N/A,N/A,n/e,n/e,n/e,n/e,6916,0,3828,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,342,,973,,n/e,n/e,n/e,n/e,8224,,2038,0,n/e,n/e,206,,n/e,n/e,1262,,3348,210
10:00 - 10:30,N/A,N/A,n/e,n/e,n/e,n/e,7778,0,3764,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,490,,689,,n/e,n/e,n/e,n/e,8216,,2006,0,n/e,n/e,356,,n/e,n/e,1418,,3598,210
10:30 - 11:00,N/A,N/A,n/e,n/e,n/e,n/e,8440,0,4050,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,491,,686,,n/e,n/e,n/e,n/e,8231,,2040,0,n/e,n/e,505,,n/e,n/e,1757,,3727,257
11:00 - 11:30,N/A,N/A,n/e,n/e,n/e,n/e,8801,0,4346,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,490,,906,,n/e,n/e,n/e,n/e,8233,,2038,0,n/e,n/e,653,,n/e,n/e,2027,,3982,285
