10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,348,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,991,,11113,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,529,
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,350,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,998,,12063,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,491,
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,349,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1002,,12598,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,465,
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,350,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1005,,12857,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,434,
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,350,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1005,,12844,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,416,
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,349,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1004,,13106,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,422,
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,348,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1005,,14094,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,402,
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,348,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1004,,14915,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,387,
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,350,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1015,,15691,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,371,
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,350,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1013,,15459,,n/e,n/e,n/e,n/e,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,350,
