10:00 - 11:00,238,,n/e,n/e,n/e,n/e,114,,227,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11,,119,,1508,,2187,
11:00 - 12:00,221,,n/e,n/e,n/e,n/e,116,,230,,21,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,64,,121,,1707,,2397,
12:00 - 13:00,222,,n/e,n/e,n/e,n/e,115,,228,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,120,,124,,1568,,2440,
13:00 - 14:00,216,,n/e,n/e,n/e,n/e,114,,227,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,169,,135,,1661,,2641,
14:00 - 15:00,231,,n/e,n/e,n/e,n/e,114,,324,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,143,,134,,1235,,2816,
15:00 - 16:00,226,,n/e,n/e,n/e,n/e,115,,334,,21,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,95,,135,,2012,,3092,
16:00 - 17:00,237,,n/e,n/e,n/e,n/e,124,,356,,29,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,27,,137,,2038,,3065,
17:00 - 18:00,221,,n/e,n/e,n/e,n/e,139,,448,,38,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,140,,2028,,3055,
18:00 - 19:00,328,,n/e,n/e,n/e,n/e,175,,572,,41,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,140,,1962,,3024,
19:00 - 20:00,375,,n/e,n/e,n/e,n/e,174,,591,,41,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,140,,1808,,2860,
