Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
NL1 0 urban central solid biomass CHP-2030,0.0754971420329821,1,NL,,,STUR,BIO,0.2699,4.0,6.0,0.02,0.02,0.0,0.0,1.3,0.35,0.35,1.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 urban central solid biomass CHP CC-2030,6487.8327380536575,1,NL,,,STUR,BIO,0.2295629999999999,8.0,6.0,0.0007565441,0.0007565441,2000.0,0.0,0.0,0.2,0.45,7.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-1985,85.0,1,NL,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-1995,1378.0,1,NL,,,COMC,GAS,0.58,5.0,1.0,0.0079107649,0.0079107649,112542.12,0.0,0.0,0.4,0.525,0.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2000,2012.5,1,NL,,,COMC,GAS,0.58,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2005,928.0,1,NL,,,COMC,GAS,0.58,5.0,1.0,0.012853855,0.012853855,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2010,2630.5,1,NL,,,COMC,GAS,0.58,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2015,2694.0,1,NL,,,COMC,GAS,0.58,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2020,144.0,1,NL,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2025,107.0,1,NL,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 coal-1975_1,485.0,1,NL,,,STUR,HRD,0.33,9.5,2.25,0.0429,0.0429,81.5,0.0,1.65,0.35,0.46,3.7,0.88,,,,,,,,,,,,,,,,,,,,
